City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,14.136827800000002,11.71054269,4.306685885,132,26.62246184,85,0.50163124,104,0.07254347400000001,7.488848234,159,46.29350308,102,0.87228099,125,0.098358494,13.87709896,415,85.78348814,267,1.61636733,326,1.592361931,2.649057927,159,16.37557171,102,0.308555174,125,0.09411045300000001,3.090567581,658,19.10483366,423,0.359981037,517,0.568910758,6.622644817,850,40.93892928,546,0.7713879359999999,668,0.000264976,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,22.4379104,20.12072339,0.346979131,132,4.27248756,85,0.11593574,104,0.057486826,0.603358155,159,7.429381145,102,0.20159937,125,0.142714388,1.1180438659999998,415,13.76690436,267,0.37357071799999997,326,1.474603937,1.0991593000000002,159,13.53437143,102,0.36726084,125,0.055147246,1.282352517,658,15.7901,423,0.42847098,517,0.587234614,2.74789825,850,33.83592856,546,0.918152099,668,0.0021906910000000003,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,64.94312625,55.62127367,0.42981835700000004,132,3.14597314,85,0.07791145099999999,104,0.177565943,0.747406365,159,5.470497738,102,0.135479357,125,0.40832978,1.3849702609999999,415,10.13702456,267,0.25104800899999996,326,5.532580969,0.681946948,159,4.99138007,102,0.12361379,125,0.227888275,0.795604772,658,5.823276748,423,0.144216089,517,2.9754876080000003,1.704867369,850,12.47845018,546,0.309034476,668,5.29279e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,34.88759176,30.20636013,3.766277837,132,17.00446105,85,0.845285733,104,0.12449033,6.549138684,159,29.56886839,102,1.469857969,125,0.204849168,12.13578414,415,54.79215229,267,2.7236984719999997,326,3.5489624369999997,3.7949192039999997,159,17.13377467,102,0.8517138670000001,125,0.19299294600000003,4.427405738,658,19.98940378,423,0.993666178,517,0.609936751,9.487298009,850,42.83443667,546,2.129284667,668,0.000163419,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,98.50433629,86.94273398,1.078540377,132,3.3529852289999997,85,0.12103035300000001,104,0.22396692699999998,1.875461878,159,5.83046876,102,0.210458335,125,0.48597755200000003,3.4752967710000005,415,10.80406352,267,0.389986692,326,7.0644691360000005,0.6999480159999999,159,2.17601066,102,0.078545928,125,0.24298877600000002,0.816606018,658,2.538679104,423,0.091636916,517,3.544199924,1.7498700390000002,850,5.440026651,546,0.19636482100000002,668,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,69.29556385,60.34384581,0.388640875,132,1.441195227,85,0.083331092,104,0.325046577,0.675803299,159,2.5060783680000003,102,0.14490351,125,0.60643018,1.252287263,415,4.6438512880000005,267,0.268511297,326,5.019624746,1.360283277,159,5.044332427,102,0.291667446,125,0.35900666700000006,1.586997156,658,5.885054498,423,0.340278687,517,2.641609866,3.400708191,850,12.61083107,546,0.729168615,668,4.55955e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,41.90891564,36.74352383,4.495437324,132,16.31291493,85,0.421281833,104,0.088378452,7.817066014,159,28.36634651,102,0.732562299,125,0.222041729,14.48529804,415,52.56383699,267,1.357463684,326,3.2429778910000002,1.1972297859999999,159,4.344473348999999,102,0.112196239,125,0.10736886300000001,1.396768084,658,5.068552241,423,0.130895612,517,1.5046248780000002,2.993074465,850,10.86118337,546,0.280490597,668,1.3466199999999998e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,50.38144694,45.13505228,1.9808637480000002,132,25.67851132,85,0.64678341,104,0.09254614800000001,3.444501962,159,44.65207802,102,1.124684485,125,0.325813152,6.382783187999999,415,82.74186982,267,2.084079876,326,3.3671584880000003,1.9077556409999998,159,24.73078973,102,0.622912454,125,0.26411572,2.225714915,658,28.85258802,423,0.726731197,517,1.196761149,4.769389103,850,61.82697433,546,1.5572811359999998,668,0.000142173,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,31.991236600000004,28.29566526,0.391767601,132,1.199407263,85,0.052157839000000004,104,0.09547070699999999,0.681240328,159,2.085635963,102,0.090696687,125,0.257200936,1.26236227,415,3.864756737,267,0.168064149,326,2.124579474,1.542437279,159,4.722214065,102,0.205351835,125,0.130381638,1.799510159,658,5.509249743,423,0.23957714100000002,517,1.087938584,3.856093197,850,11.80553516,546,0.5133795879999999,668,5.0171000000000005e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,16.21671785,14.34339115,0.9073029579999999,132,4.0337177,85,0.20734771899999999,104,0.048395176,1.577699032,159,7.014186888999999,102,0.360554645,125,0.130378049,2.9235317519999997,415,12.99753481,267,0.6681204279999999,326,1.076973245,2.561555228,159,11.38824753,102,0.585397225,125,0.066091919,2.988481099,658,13.28628878,423,0.6829634290000001,517,0.5514883110000001,6.40388807,850,28.47061881,546,1.463493063,668,1.15929e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
