City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,18.98453049,15.72624056,4.32099994,132,26.40070321,85,0.709075815,104,0.097419578,7.513738784,159,45.90788947,102,1.233004056,125,0.132086905,13.92322203,415,85.06893256,267,2.284799848,326,2.138403612,2.657862553,159,16.23916718,102,0.43615507600000003,125,0.126382155,3.100839645,658,18.94569505,423,0.508847588,517,0.763997679,6.644656382000001,850,40.59791796,546,1.0903876890000002,668,0.00039149,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,28.14160962,25.23539549,0.34714209799999995,132,4.224846693,85,0.163413639,104,0.072099932,0.603641537,159,7.346538972,102,0.284158162,125,0.17899227399999998,1.118568983,415,13.6133949,267,0.52655506,326,1.8494471000000001,1.099675547,159,13.38345485,102,0.517661166,125,0.069165633,1.282954805,658,15.61403066,423,0.603938027,517,0.736509192,2.749188867,850,33.45863713,546,1.294152914,668,0.0032366490000000003,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,81.5991247,69.88649159,0.43037023700000004,132,3.113425649,85,0.10990706199999999,104,0.22310637600000002,0.7483660240000001,159,5.413901267999999,102,0.191116168,125,0.513054338,1.3867485419999999,415,10.03214931,267,0.354144977,326,6.95152498,0.682822557,159,4.939740437,102,0.17437781300000002,125,0.286334904,0.7966263170000001,658,5.76303051,423,0.203440782,517,3.738612512,1.707056394,850,12.34935109,546,0.435944534,668,7.81986e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,46.17631953,39.98036169,3.740649621,132,16.69259153,85,1.182783476,104,0.164772201,6.504574063,159,29.02656194,102,2.056729044,125,0.271133092,12.05320433,415,53.78723937,267,3.8111912000000006,326,4.697315441000001,3.769096093,159,16.81953347,102,1.191778175,125,0.255440502,4.397278775,658,19.62278905,423,1.3904078709999999,517,0.807296603,9.422740232,850,42.04883368,546,2.979445437,668,0.000241444,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,125.7939877,111.02935790000001,1.076049177,132,3.306386128,85,0.17012065399999998,104,0.286014748,1.871129958,159,5.749438099999999,102,0.295820915,125,0.620612823,3.467269571,415,10.65391086,267,0.5481665520000001,326,9.021610387,0.6983312840000001,159,2.14576891,102,0.11040441,125,0.310306411,0.8147198309999999,658,2.503397062,423,0.128805145,517,4.526085433,1.74582821,850,5.364422275,546,0.276011026,668,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,84.33072177,73.43673663,0.38515180299999996,132,1.411667754,85,0.11634763699999999,104,0.39557239899999996,0.669736191,159,2.4547333719999997,102,0.20231561399999998,125,0.738008207,1.2410446990000001,415,4.5487072060000004,267,0.37489794299999996,326,6.10873993,1.348071166,159,4.940983214,102,0.40722877,125,0.43690085799999995,1.5727496930000002,658,5.7644804160000005,423,0.475100232,517,3.214763749,3.3701779139999997,850,12.35245803,546,1.018071926,668,6.73653e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,52.94657266,46.42075856,4.499088286,132,16.13653774,85,0.594008054,104,0.11165490800000001,7.823414631,159,28.05964619,102,1.032914005,125,0.280521421,14.49706225,415,51.99551051,267,1.9140259519999998,326,4.097089174,1.198202114,159,4.297500385,102,0.158196875,125,0.135646871,1.397902467,658,5.013750449,423,0.18456302100000002,517,1.900901734,2.995505285,850,10.74375096,546,0.39549218700000005,668,1.98957e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,62.06948239,55.6059721,1.9832325640000001,132,25.41061064,85,0.912315275,104,0.114016009,3.4486210689999997,159,44.1862285,102,1.586414894,125,0.401398827,6.390416039,415,81.87863429,267,2.939682551,326,4.1483084980000005,1.9100370309999999,159,24.47277651,102,0.878644285,125,0.325388154,2.228376536,658,28.551572600000004,423,1.0250849990000002,517,1.4743988030000001,4.775092577,850,61.18194128,546,2.196610713,668,0.000210055,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,38.96929102,34.46762712,0.39001273299999994,132,1.18016617,85,0.07315380099999999,104,0.116295154,0.6781888070000001,159,2.05217784,102,0.127206331,125,0.31330261600000003,1.2567076940000002,415,3.80275766,267,0.235717802,326,2.588001109,1.5355281459999999,159,4.646459513,102,0.28801552,125,0.158820994,1.791449504,658,5.420869432000001,423,0.33601810600000004,517,1.325244029,3.838820366,850,11.61614878,546,0.7200388000000001,668,7.41254e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,19.75397216,17.47202807,0.90066832,132,3.957712838,85,0.28998721899999996,104,0.058951322,1.566162134,159,6.88202288,102,0.504255553,125,0.158816622,2.902153475,415,12.75263026,267,0.93440326,326,1.311886887,2.542823898,159,11.17366578,102,0.818710299,125,0.080508149,2.96662788,658,13.03594341,423,0.955162016,517,0.671781112,6.357059744,850,27.93416445,546,2.046775749,668,1.7128e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
