City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,21.93860134,18.17330813,4.323916945,132,26.26465419,85,0.842207826,104,0.112578464,7.518811132000001,159,45.67131534,102,1.4645058309999999,125,0.152640169,13.93262127,415,84.63055239,267,2.713780772,326,2.47114799,2.6596568130000002,159,16.15548295,102,0.5180450529999999,125,0.14604773699999998,3.102932949,658,18.84806344,423,0.604385895,517,0.882878853,6.6491420329999995,850,40.38870737,546,1.295112632,668,0.000475859,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,31.31796343,28.08372385,0.346706935,132,4.194974335,85,0.193721161,104,0.080237878,0.6028848370000001,159,7.29459426,102,0.336859575,125,0.199195197,1.11716679,415,13.51713952,267,0.62421263,326,2.0581948740000002,1.098297038,159,13.2888253,102,0.613669229,125,0.07697238299999999,1.281346544,658,15.50362951,423,0.715947434,517,0.819639255,2.745742595,850,33.22206325,546,1.534173073,668,0.003934165999999999,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,91.29600649999999,78.19149549,0.43008611700000005,132,3.093248439,85,0.130368392,104,0.249619358,0.74787197,159,5.378815342,102,0.22669614800000001,125,0.574023464,1.385833044,415,9.96713386,267,0.42007593,326,7.777613696,0.682371774,159,4.90772741,102,0.20684162399999997,125,0.320361687,0.796100403,658,5.725681978,423,0.24131522800000002,517,4.1828928130000005,1.705929435,850,12.26931853,546,0.51710406,668,9.50508e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,52.7963851,45.712144099999996,3.719330784,132,16.50078667,85,1.395907175,104,0.188394759,6.467502973999999,159,28.69303459,102,2.427327476,125,0.31000407399999996,11.9845103,415,53.16920148,267,4.497923119,326,5.370745817,3.747615132,159,16.62626999,102,1.4065226130000001,125,0.292061716,4.372217654,658,19.39731499,423,1.640943048,517,0.923034637,9.369037831,850,41.56567499,546,3.5163065319999998,668,0.000293476,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,141.74373530000003,125.10705959999999,1.073091719,132,3.278094002,85,0.20137023899999998,104,0.322279303,1.865987267,159,5.700241236,102,0.35016047,125,0.69930194,3.457739984,415,10.56274734,267,0.648859658,326,10.16548389,0.6964119609999999,159,2.127407968,102,0.130684675,125,0.34965097,0.812480622,658,2.481975962,423,0.152465454,517,5.099959605,1.7410299040000001,850,5.318519919,546,0.326711688,668,5.71005e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,92.31838787,80.39254252,0.38244723,132,1.393590535,85,0.13712943,104,0.43304036,0.665033239,159,2.423299096,102,0.238452842,125,0.80791112,1.232329963,415,4.490458389,267,0.441861496,326,6.687349645,1.33860488,159,4.877711076000001,102,0.479967194,125,0.47828338299999995,1.5617056930000002,658,5.6906629220000005,423,0.559961726,517,3.5192608389999998,3.3465121989999997,850,12.19427769,546,1.199917985,668,8.1883e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,59.14358471,51.85397142,4.495474424,132,16.02966636,85,0.704493299,104,0.12472330400000001,7.817130526000001,159,27.87380873,102,1.225035569,125,0.313354417,14.48541759,415,51.65114717,267,2.270033962,326,4.576623725,1.197239667,159,4.2690382819999995,102,0.187621426,125,0.151523353,1.396779611,658,4.980544662,423,0.21889166399999999,517,2.123388485,2.9930991660000004,850,10.672595699999999,546,0.469053565,668,2.41833e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,68.53575925,61.39889314,1.981653254,132,25.24249221,85,1.082013011,104,0.12589397300000002,3.445874825,159,43.89388924,102,1.8815004030000002,125,0.443215769,6.385327152,415,81.33691936,267,3.4864863689999996,326,4.580471135,1.908516009,159,24.31086286,102,1.042078956,125,0.35928645299999995,2.2266020109999998,658,28.36267334,423,1.215758782,517,1.627998777,4.771290023,850,60.77715715,546,2.605197389,668,0.000255323,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,42.68718502,37.75603654,0.388404928,132,1.168455606,85,0.08647217,104,0.127390379,0.6753930140000001,159,2.03181447,102,0.150365496,125,0.34319348299999997,1.25152699,415,3.7650236180000003,267,0.278632548,326,2.834911267,1.529198021,159,4.600353579,102,0.340451579,125,0.173973428,1.7840643580000002,658,5.367079175,423,0.397193509,517,1.451679914,3.822995053,850,11.50088395,546,0.851128949,668,9.00999e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,21.63861447,19.13895981,0.89524943,132,3.910988645,85,0.342130301,104,0.064575617,1.5567392869999999,159,6.800774700000001,102,0.594926579,125,0.17396863899999998,2.884692608,415,12.60207452,267,1.102419859,326,1.437048424,2.527524945,159,11.04175108,102,0.965923955,125,0.08818908800000001,2.948779102,658,12.88204292,423,1.126911281,517,0.735872885,6.318812362,850,27.6043777,546,2.4148098890000003,668,2.0819200000000002e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
