City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,20.40862452,16.90591921,4.322863893,132,26.33506236,85,0.7728527079999999,104,0.104727351,7.516979993,159,45.79374733,102,1.3439049859999999,125,0.141995192,13.9292281,415,84.85742316,267,2.490303169,326,2.298812521,2.659009078,159,16.19879126,102,0.47538447100000003,125,0.135862509,3.1021772569999997,658,18.89858981,423,0.554615216,517,0.821307736,6.647522694,850,40.49697816,546,1.188461177,668,0.00043161800000000004,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,29.694953700000003,26.62832407,0.346973594,132,4.210480391,85,0.177948446,104,0.076079662,0.6033485270000001,159,7.321557567999999,102,0.309432576,125,0.188872184,1.118026024,415,13.56710348,267,0.573389438,326,1.9515317980000002,1.099141759,159,13.33794533,102,0.563704478,125,0.072983397,1.2823320520000001,658,15.56093622,423,0.657655224,517,0.777162595,2.747854397,850,33.34486332,546,1.4092611940000002,668,0.003568405,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,86.29399785,73.90746870000001,0.430281481,132,3.103705306,85,0.119716161,104,0.23594298600000002,0.748211686,159,5.3969986720000005,102,0.208173102,125,0.542573344,1.38646255,415,10.00082821,267,0.385752074,326,7.351486721000001,0.682681737,159,4.924318206000001,102,0.189940865,125,0.30280941899999997,0.796462027,658,5.745037907,423,0.22159767600000002,517,3.9537166760000004,1.7067043430000002,850,12.31079551,546,0.474852162,668,8.621389999999999e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,49.37814939,42.75256868,3.7307867519999998,132,16.60002401,85,1.2852138659999999,104,0.17619737600000002,6.48742363,159,28.8655973,102,2.234844111,125,0.289933249,12.02142398,415,53.48896625,267,4.1412446780000005,326,5.023023617,3.75915822,159,16.726262,102,1.294987516,125,0.273152546,4.38568459,658,19.51397234,423,1.510818768,517,0.863273918,9.397895549,850,41.81565501,546,3.237468789,668,0.000266192,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,133.5395676,117.8658274,1.074732262,132,3.292708546,85,0.185115152,104,0.303625686,1.8688399880000002,159,5.725654304,102,0.321894681,125,0.658826145,3.463026176,415,10.60983865,267,0.5964821570000001,326,9.577102788,0.697476636,159,2.136892472,102,0.120135496,125,0.329413073,0.813722742,658,2.493041218,423,0.140158079,517,4.804772492,1.74369159,850,5.34223118,546,0.300338741,668,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,88.28729346,76.8821917,0.383889071,132,1.402936009,85,0.126342114,104,0.414131597,0.667540441,159,2.439549837,102,0.21969489899999997,125,0.7726335759999999,1.236975897,415,4.520571583,267,0.40710236899999996,326,6.395345653,1.3436514730000002,159,4.910421202,102,0.44221047399999996,125,0.45739907700000004,1.567593386,658,5.728824736,423,0.515912219,517,3.365591857,3.359128684,850,12.27605301,546,1.105526185,668,7.42703e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,55.98023717,49.08051537,4.497798705,132,16.08486471,85,0.646970669,104,0.11805236699999999,7.821172193,159,27.96979253,102,1.125010107,125,0.296594376,14.49290694,415,51.82900851,267,2.084683266,326,4.331838911,1.197858672,159,4.283738766,102,0.17230193600000002,125,0.143418991,1.3975017840000001,658,4.9976952269999995,423,0.20101892600000001,517,2.0098171519999997,2.9946466789999997,850,10.70934692,546,0.430754841,668,2.1935e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,65.2453021,58.45108269,1.982705849,132,25.32977309,85,0.99367954,104,0.11984970199999999,3.44770517,159,44.04566099,102,1.727898311,125,0.42193662200000004,6.388718846000001,415,81.61815774,267,3.201856295,326,4.360559017,1.909529755,159,24.39492245,102,0.9570056240000001,125,0.34203682,2.227784715,658,28.46074285,423,1.116506562,517,1.5498372409999999,4.773824389,850,60.98730612,546,2.392514061,668,0.000231586,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,40.80896563,36.09478576,0.38927757700000004,132,1.174506213,85,0.079548914,104,0.121785252,0.676910453,159,2.0423358030000003,102,0.138326723,125,0.328093105,1.254338858,415,3.784520019,267,0.256324279,326,2.7101762839999997,1.532633747,159,4.624175564,102,0.31319386899999996,125,0.166318665,1.788072705,658,5.394871491,423,0.365392847,517,1.387806568,3.831584367,850,11.56043891,546,0.782984672,668,8.17233e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,20.68652393,18.296853100000003,0.898155514,132,3.9351608419999997,85,0.31505202,104,0.061734315,1.561792645,159,6.842807464,102,0.5478404570000001,125,0.166314087,2.8940566580000002,415,12.67996271,267,1.015167621,326,1.3738188580000001,2.535729587,159,11.10999556,102,0.889474836,125,0.084308803,2.9583511839999996,658,12.96166148,423,1.037720642,517,0.703494767,6.339323967,850,27.77498889,546,2.22368709,668,1.88836e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.83,0,0.15,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
