City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,14.68216216,12.16228203,4.309001293,132,26.59790423,85,0.5238734420000001,104,0.07534187,7.492874471,159,46.25080013,102,0.910957707,125,0.10215271599999999,13.88455972,415,85.70435806,267,1.688036646,326,1.653787994,2.650482142,159,16.36046624,102,0.322236432,125,0.097740805,3.092229166,658,19.08721061,423,0.375942504,517,0.590856741,6.626205356,850,40.9011656,546,0.80559108,668,0.000278225,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,23.11936525,20.73180367,0.347064096,132,4.26729746,85,0.121040874,104,0.059232741,0.6035059,159,7.420356139,102,0.21047663100000003,125,0.14704872300000002,1.118317643,415,13.75018071,267,0.390020594,326,1.519388678,1.099428452,159,13.51793025,102,0.38343286600000004,125,0.056822106,1.282666528,658,15.77091862,423,0.44733834299999997,517,0.605069335,2.74857113,850,33.79482562,546,0.9585821640000001,668,0.0023002260000000003,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,66.90216517,57.29911468,0.429957218,132,3.142397153,85,0.081348577,104,0.182922301,0.74764783,159,5.4642794939999995,102,0.141456136,125,0.420647234,1.385417704,415,10.12550194,267,0.26212319100000003,326,5.699473789,0.682167264,159,4.985706433,102,0.12906711099999998,125,0.23476262899999997,0.795861808,658,5.816657505,423,0.150578296,517,3.0652445439999996,1.7054181609999999,850,12.46426608,546,0.322667777,668,5.55743e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,36.18468971,31.32941294,3.7641549239999996,132,16.97007588,85,0.881793825,104,0.1291188,6.5454471729999995,159,29.50907639,102,1.5333414840000001,125,0.21246532699999998,12.12894364,415,54.681355599999996,267,2.8413356569999997,326,3.68091055,3.792780146,159,17.099128,102,0.888499591,125,0.200168298,4.4249101710000005,658,19.94898267,423,1.0365828559999999,517,0.6326138029999999,9.481950366,850,42.74782001,546,2.221248978,668,0.00017159,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,101.6547901,89.72341426,1.078444302,132,3.3477940210000003,85,0.12631763599999998,104,0.231130038,1.875294814,159,5.821441826,102,0.21965233399999998,125,0.501520521,3.474987195,415,10.78733629,267,0.407023494,326,7.290411306,0.699885665,159,2.172641685,102,0.081977254,125,0.25076026,0.8165332759999999,658,2.534748632,423,0.09564013,517,3.6575536960000004,1.7497141630000002,850,5.431604212000001,546,0.20494313600000003,668,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,71.10927374,61.92325759,0.388327276,132,1.437930893,85,0.086909025,104,0.333554195,0.675257986,159,2.5004020540000003,102,0.151125137,125,0.622302602,1.2512767790000001,415,4.633332879,267,0.28004019,326,5.1510060719999995,1.35918565,159,5.03290692,102,0.30419057899999996,125,0.36840314,1.5857165919999998,658,5.87172474,423,0.354889009,517,2.710750135,3.397964125,850,12.582267300000002,546,0.7604764479999999,668,4.78753e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,43.20595332,37.88069797,4.496573048999999,132,16.29322499,85,0.439836044,104,0.091113673,7.819040912999999,159,28.332107899999997,102,0.76482601,125,0.228913692,14.4889576,415,52.50039164,267,1.4172494759999998,326,3.34334471,1.197532254,159,4.3392295039999995,102,0.117137616,125,0.11069181800000001,1.3971209619999998,658,5.062434421,423,0.13666055300000002,517,1.551191464,2.9938306339999996,850,10.84807376,546,0.292844041,668,1.41395e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,51.77162303,46.38046452,1.981504764,132,25.64933658,85,0.675317132,104,0.095099776,3.4456166169999998,159,44.60134639,102,1.174301458,125,0.334803319,6.384848684,415,82.64786232,267,2.176021871,326,3.4600685469999997,1.908372999,159,24.70269175,102,0.650393077,125,0.271403469,2.226435166,658,28.81980704,423,0.7587919240000001,517,1.229783399,4.7709324980000005,850,61.75672937,546,1.625982694,668,0.000149282,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,32.83208003,29.03937594,0.391640548,132,1.197268576,85,0.05442358,104,0.09798001699999999,0.681019397,159,2.081917024,102,0.09463655800000001,125,0.26396109100000004,1.2619528759999998,415,3.8578654119999998,267,0.175364868,326,2.1804209759999997,1.541937055,159,4.7137937910000005,102,0.21427233399999998,125,0.133808531,1.798926564,658,5.499426089,423,0.24998438899999997,517,1.116533478,3.854842638,850,11.78448448,546,0.535680834,668,5.2679499999999996e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,16.64295085,14.72038646,0.906740945,132,4.025336385,85,0.216291047,104,0.049667172999999995,1.576721755,159,6.999612712999999,102,0.37610609799999994,125,0.133804847,2.9217208230000002,415,12.97052835,267,0.696937817,326,1.10527993,2.559968519,159,11.36458487,102,0.610646595,125,0.06782905,2.9866299389999997,658,13.25868234,423,0.712421027,517,0.565983385,6.399921297000001,850,28.41146216,546,1.5266164869999999,668,1.21726e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baiyin City,Medium-small-cities,1,Gansu Province,29.278540200000002,23.89836166,0.8134733940000001,132,2.87587017,85,0.145612818,104,0.09270250199999999,1.414539845,159,5.000818685,102,0.253204512,125,0.205147203,2.621192046,415,9.266692771,267,0.469196858,326,3.934706194,2.102024912,159,7.431282682999999,102,0.37626525200000005,125,0.222314333,2.452362398,658,8.669829797,423,0.43897612700000005,517,0.9253083059999999,5.255062281,850,18.57820671,546,0.94066313,668,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baise City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,47.3193192,41.05565876,2.117310594,132,8.91665255,85,0.6743857329999999,104,0.116424915,3.6817678660000004,159,15.50506804,102,1.172681857,125,0.276597374,6.822445247,415,28.73143599,267,2.173020694,326,4.043119785,3.48842356,159,14.69083512,102,1.111099659,125,0.349980351,4.0698274869999995,658,17.13930764,423,1.296282935,517,1.477538016,8.721058901000001,850,36.7270878,546,2.7777491469999998,668,5.2222399999999997e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bengbu City,Medium-small-cities,1,Anhui Province,51.45660376,44.07058923,0.117900197,132,0.392446144,85,0.012668853,104,0.14069141599999999,0.205015342,159,0.682420239,102,0.022029728,125,0.323533296,0.379900633,415,1.264548685,267,0.04082186,326,4.3836483269999995,0.992589657,159,3.303963815,102,0.106657774,125,0.180563477,1.158021266,658,3.8546244510000003,423,0.12443406900000001,517,2.3575780180000003,2.4814741419999997,850,8.259909537,546,0.266644434,668,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baotou City,Medium-small-cities,1,Inner Mongolia Autonomous Region,85.006835,74.52950332,3.875305744,132,9.159633236,85,0.832421037,104,0.17926430100000001,6.7387261,159,15.92758446,102,1.447487693,125,0.450383036,12.48709629,415,29.51437376,267,2.682245565,326,6.577962762,1.248146408,159,2.950106153,102,0.268103576,125,0.217783902,1.456170809,658,3.441790512,423,0.312787505,517,3.0519376780000003,3.12036602,850,7.3752653829999995,546,0.67025894,668,6.598010000000001e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoji City,Medium-small-cities,1,Shaanxi Province,45.86217952,41.12594318,1.7863326869999998,132,9.072674492,85,0.253020261,104,0.117500743,3.10623406,159,15.77637287,102,0.439974121,125,0.291702426,5.755960879,415,29.23417336,267,0.8152875079999999,326,3.0140306860000003,1.79064869,159,9.094595211,102,0.25363159,125,0.112718736,2.089090139,658,10.61036108,423,0.295903521,517,1.200283752,4.476621726,850,22.73648803,546,0.634078974,668,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.93,0,0.05,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
