City,level,PMs,PMs1,PMs2,yagao,myl,msg,xmn,soil,ocean,river,emission
Shaoxing City,3,0.005743707,0.005456522,0.000287185,0.002378807,0.001098382,0.001050548,0.001215969,0.000350218,0.001099931,0.002032129,0.003482278
Shenzhen City,3,0.015366966,0.014598618,0.000768348,0.00637411,0.002932102,0.002812582,0.003248172,0.001589684,0.001731905,0.002287226,0.005608815
Shenyang City,3,0.006175574,0.005866795,0.000308779,0.00256476,0.00118239,0.001125672,0.001302752,0.000379979,0.00118102,0.002172093,0.003733092
Shiyan City,3,0.005063419,0.004810248,0.000253171,0.002100927,0.000974718,0.000921537,0.001066237,0.000217335,0.001188955,0.002182308,0.003588598
Shijiazhuang City,3,0.007563053,0.0071849,0.000378153,0.003144381,0.001448669,0.001379452,0.001590551,0.000463415,0.001443771,0.002664599,0.004571785
Shizuishan City,3,0.00237439,0.002255671,0.00011872,0.000984464,0.000453655,0.00043428,0.000501991,0.000103294,0.000553841,0.001021721,0.001678856
Shuangyashan City,3,0.00355199,0.003374391,0.0001776,0.001470568,0.000679536,0.000650572,0.000751314,0.00015418,0.000828461,0.001529357,0.002511998
Shuozhou City,3,0.004284518,0.004070293,0.000214226,0.001781666,0.000815394,0.000785076,0.000902381,0.000185055,0.001002257,0.001843282,0.003030594
Siping City,3,0.004151777,0.003944188,0.000207589,0.001725998,0.00079216,0.000759184,0.000874436,0.000177678,0.000973834,0.001794128,0.00294564
Songyuan City,3,0.003345773,0.003178485,0.000167289,0.001391001,0.00063808,0.000612369,0.000704323,0.000144372,0.000783408,0.001439635,0.002367415
Suzhou City (Jiangsu),3,0.017640578,0.016758549,0.000882029,0.007323918,0.003378743,0.003225049,0.003712868,0.001539432,0.002281801,0.004208083,0.008029316
Suqian City,3,0.006029397,0.005727928,0.00030147,0.002506347,0.001155761,0.001101075,0.001266214,0.000367821,0.001156708,0.002131118,0.003655647
Suzhou City (Anhui),3,0.007464766,0.007091527,0.000373238,0.003087165,0.001435354,0.001363605,0.001578641,0.000323565,0.001743992,0.003213278,0.005280835
Suihua City,3,0.007271111,0.006907555,0.000363556,0.003008951,0.00139153,0.001336251,0.00153438,0.000315944,0.001695536,0.00313556,0.00514704
Suizhou City,3,0.002421544,0.002300467,0.000121077,0.001007182,0.000464764,0.000439971,0.000509627,0.000104373,0.000569079,0.001044974,0.001718426
Suining City,3,0.015752381,0.014964762,0.000787619,0.006516082,0.003038643,0.002874529,0.003323128,0.000683117,0.003689633,0.00677719,0.01114994
Tacheng Prefecture,3,0.003704941,0.003519694,0.000185247,0.001534723,0.000710009,0.000677588,0.000782621,0.000160371,0.00086667,0.001599304,0.002626345
Taizhou City (Zhejiang),3,0.007704619,0.007319388,0.000385231,0.003200439,0.001478674,0.001406577,0.001618929,0.000470855,0.001823297,0.002378123,0.004672275
Taiyuan City,3,0.003984425,0.003785204,0.000199221,0.001652296,0.0007614,0.000727663,0.000843067,0.000243294,0.000764014,0.001406136,0.002413444
Tai'an City,3,0.005862288,0.005569174,0.000293114,0.002437885,0.001124783,0.001066559,0.001233062,0.000254276,0.001367118,0.002522006,0.0041434
Taizhou City (Jiangsu),3,0.007831731,0.007440144,0.000391587,0.003253024,0.001502686,0.001433313,0.001642708,0.000477931,0.001496382,0.002762839,0.004737152
Tangshan City,3,0.007769278,0.007380814,0.000388464,0.003226752,0.001494232,0.001415892,0.001632402,0.000476808,0.00183235,0.002397934,0.004707092
Tianjin,3,0.01594667,0.015149337,0.000797334,0.006613046,0.003055244,0.002924402,0.003353978,0.001380974,0.002564221,0.003361108,0.007306303
Tianshui City,3,0.016751914,0.015914318,0.000837596,0.006975866,0.003191708,0.003048573,0.003535766,0.000724365,0.003916214,0.007211705,0.011852284
Tieling City,3,0.005489141,0.005214684,0.000274457,0.002265901,0.001051607,0.001007691,0.001163942,0.000235574,0.001287851,0.002373479,0.003896904
Tonghua City,3,0.002718201,0.002582291,0.00013591,0.001126209,0.000524581,0.000495648,0.000571763,0.000117802,0.000635366,0.001170258,0.001923426
Tongliao City,3,0.001602568,0.001522439,8.01E-05,0.000666143,0.000306792,0.000290985,0.000338648,9.85E-05,0.000305515,0.000563954,0.000967969
Tongchuan City,3,0.002818512,0.002677586,0.000140926,0.001172391,0.000536369,0.000515362,0.00059439,0.000121806,0.00065845,0.0012153,0.001995556
Tongling City,3,0.004130599,0.003924069,0.00020653,0.001713455,0.000791327,0.000756586,0.000869231,0.000178565,0.000964344,0.001781419,0.002924328
Tongren City,3,0.011001563,0.010451485,0.000550078,0.004565904,0.002107865,0.002010165,0.002317629,0.000473446,0.00257526,0.004733704,0.00778241
Turpan City,3,0.005458025,0.005185124,0.000272901,0.002262714,0.001047447,0.000999062,0.001148802,0.000235145,0.001278791,0.002351812,0.003865748
Weihai City,3,0.003119168,0.00296321,0.000155958,0.00129635,0.000595174,0.000570634,0.000657011,0.000191903,0.000734988,0.000959315,0.001886206
Weifang City,3,0.007081719,0.006727633,0.000354086,0.002951141,0.001353928,0.001287385,0.001489266,0.000432636,0.001671951,0.002190167,0.004294754
Weinan City,3,0.008455746,0.008032958,0.000422787,0.003512873,0.001616701,0.001543295,0.001782877,0.000366175,0.001976324,0.003643403,0.005985902
Wenzhou City,3,0.005298707,0.005033772,0.000264935,0.002199522,0.001016324,0.000965173,0.001117688,0.000323771,0.001248262,0.001636543,0.003208576
Wuhai City,3,0.000654038,0.000621336,3.27E-05,0.000270084,0.000126003,0.000119934,0.000138017,2.82E-05,0.000153096,0.000282201,0.000463497
Ulanqab City,3,0.001847324,0.001754957,9.24E-05,0.000768784,0.000353083,0.00033776,0.000387697,7.99E-05,0.000431918,0.000795773,0.001307591
¨¹r¨¹mqi City,3,0.00589627,0.005601456,0.000294813,0.002439069,0.001131688,0.001078996,0.001246517,0.000360602,0.001130929,0.002077225,0.003568756
Wuxi City,3,0.009687139,0.009202782,0.000484357,0.004031431,0.001852286,0.001764501,0.00203892,0.000846716,0.001265694,0.002324119,0.004436529
Wuhu City,3,0.004730497,0.004493972,0.000236525,0.001967857,0.000901952,0.000866856,0.000993833,0.000287941,0.000908274,0.001672498,0.002868713
Wuzhong City,3,0.002146761,0.002039423,0.000107338,0.00089281,0.000409744,0.000391073,0.000453134,9.23E-05,0.000502011,0.000928344,0.00152263
Wuzhou City,3,0.00415213,0.003944523,0.000207606,0.001718324,0.000795817,0.000759661,0.000878328,0.000180669,0.000972871,0.001789904,0.002943444
Wuhan City,3,0.012153395,0.011545726,0.00060767,0.005058489,0.002323801,0.00222061,0.002550495,0.001065046,0.00156668,0.002880661,0.005512387
Wuwei City,3,0.004038432,0.00383651,0.000201922,0.001676155,0.000771029,0.000737449,0.000853798,0.000175498,0.000946465,0.001736529,0.002858492
Xi'an City,3,0.015250676,0.014488143,0.000762534,0.0063076,0.00293397,0.002788022,0.003221083,0.001330076,0.001973648,0.003640394,0.006944118
Xining City,3,0.005546639,0.005269307,0.000277332,0.002308957,0.001060277,0.001011589,0.001165816,0.000239697,0.001294168,0.002386596,0.003920461
Xishuangbanna Dai Autonomous Prefecture,3,0.005378131,0.005109225,0.000268907,0.002229543,0.001029873,0.000982085,0.00113663,0.000230917,0.001260142,0.002319997,0.003811056
Xianning City,3,0.002320475,0.002204451,0.000116024,0.000964806,0.000443445,0.000423639,0.000488586,9.98E-05,0.000544577,0.001001683,0.001646014
Xianyang City,3,0.007220556,0.006859528,0.000361028,0.003001419,0.00137629,0.00131869,0.001524157,0.000313636,0.00168427,0.003099854,0.00509776
Xiangtan City,3,0.002649035,0.002516584,0.000132452,0.001101552,0.000504805,0.0004838,0.000558878,0.000113882,0.000620292,0.001142565,0.001876739
Xiangyang City,3,0.004619563,0.004388585,0.000230978,0.001914374,0.000883971,0.000847696,0.000973522,0.000280926,0.000887463,0.001638623,0.002807012
Xiaogan City,3,0.011367667,0.010799283,0.000568383,0.004724498,0.002175976,0.002073175,0.002394018,0.000492158,0.002657196,0.004891641,0.008040995
Xinzhou City,3,0.004312486,0.004096862,0.000215624,0.001791766,0.000823479,0.000787323,0.000909918,0.000186704,0.001008523,0.001862895,0.003058122
Xinxiang City,3,0.00337421,0.0032055,0.000168711,0.001405848,0.000644941,0.000615131,0.00070829,0.000144774,0.000792081,0.001455139,0.002391994
Xinyu City,3,0.002535681,0.002408897,0.000126784,0.001051797,0.000485539,0.000462835,0.000535511,0.000109966,0.000591619,0.001092936,0.001794521
Xinyang City,3,0.00798721,0.00758785,0.000399361,0.003326588,0.001523856,0.001459691,0.001677074,0.000349143,0.001858,0.003428298,0.005635441
Xingtai City,3,0.008068868,0.007665424,4.03E-04,0.003357369,0.001548426,0.001469787,0.001693286,3.48E-04,0.001888598,0.003480079,0.005716677
Xuzhou City,3,0.010270689,0.009757155,0.000513534,0.004256441,0.001972032,0.00187471,0.002167506,0.000620154,0.001983535,0.003643846,0.006247535
Xuchang City,3,0.003091571,0.002936993,0.000154579,0.001286445,0.000592961,0.000562677,0.000649489,0.00018847,0.00059414,0.001092764,0.001875374
Xuancheng City,3,0.007127943,0.006771546,0.000356397,0.002953678,0.001370429,0.001302997,0.00150084,0.000305867,0.001670701,0.003077779,0.005054347
Ya'an City,3,0.00556567,0.005287386,0.000278283,0.002317669,0.00106419,0.001012439,0.001171372,0.000241942,0.00129918,0.002393157,0.003934279
Yantai City,3,0.005226148,0.004964841,0.000261307,0.002173983,0.000999,0.000951113,0.001102053,0.000318776,0.001236067,0.001617244,0.003172087
Yan'an City,3,0.00353822,0.003361309,0.000176911,0.001468263,0.000675751,0.00064764,0.000746566,0.0001532,0.000827396,0.001525939,0.002506535
Yancheng City,3,0.007005732,0.006655446,0.000350287,0.002911914,0.001336193,0.001282557,0.001475069,0.000429268,0.00164756,0.002166503,0.004243331
Yangzhou City,3,0.007007425,0.006657053,0.000350371,0.00290964,0.001342463,0.001279406,0.001475916,0.000431126,0.001336165,0.002464065,0.004231356
Yangjiang City,3,0.003079644,0.002925662,0.000153982,0.001277851,0.000589475,0.000563331,0.000648987,0.000133223,0.000888385,0.001161016,0.002182624
Yangquan City,3,0.003218486,0.003057562,0.000160924,0.001334646,0.000619446,0.000587344,0.000677051,0.000139507,0.000749647,0.001385914,0.002275068
Yichun City (Heilongjiang),3,0.003250854,0.003088311,0.000162543,0.00135055,0.000622372,0.000593537,0.000684394,0.000140945,0.000760084,0.001402039,0.002303068
Yibin City,3,0.011881698,0.011287613,0.000594085,0.004929362,0.002272978,0.002167214,0.002512144,0.000512535,0.002775573,0.005129397,0.008417505
Yichang City,3,0.00540571,0.005135424,0.000270285,0.002252009,0.001031504,0.000986094,0.001136102,0.000330214,0.00103198,0.001915273,0.003277467
Yichun City (Jiangxi),3,0.009779323,0.009290357,0.000488966,0.004059145,0.001876272,0.0017801,0.002063806,0.000422957,0.002283061,0.00421077,0.006916788
Yiyang City,3,0.005636389,0.005354569,0.000281819,0.002336224,0.001078046,0.001033259,0.00118886,0.000243427,0.001317884,0.002431645,0.003992956
Yinchuan City,3,0.002507979,0.00238258,0.000125399,0.001039288,0.000481852,0.000456624,0.000530215,0.000108535,0.000586661,0.001077194,0.00177239
Yingtan City,3,0.00174911,0.001661655,8.75E-05,0.000724428,0.00033705,0.000319128,0.000368504,7.58E-05,0.000408769,0.000753918,0.001238487
Yingkou City,3,0.002563584,0.002435405,0.000128179,0.001065558,0.000492672,0.000466724,0.000538631,0.000110444,0.000741268,0.000962654,0.001814366
Yongzhou City,3,0.010717406,0.010181535,0.00053587,0.004443277,0.002054655,0.00196137,0.002258103,0.000464514,0.002517448,0.004617816,0.007599778
Yulin City (Shaanxi),3,0.007103046,0.006747894,0.000355152,0.002954693,0.001348943,0.001300326,0.001499084,0.000431756,0.001363462,0.00251618,0.004311398
Yulin City (Guangxi),3,0.00900169,0.008551606,0.000450085,0.003735575,0.001723376,0.001644685,0.001898054,0.000390825,0.002096462,0.003882732,0.006370019
Yuxi City,3,0.003334837,0.003168095,0.000166742,0.001384041,0.000637862,0.000610077,0.000702857,0.000144763,0.000777395,0.001435782,0.00235794
Yueyang City,3,0.006377372,0.006058503,0.000318869,0.002649361,0.001218078,0.001169646,0.001340287,0.00039085,0.001220905,0.002246576,0.003858331
Yunfu City,3,0.003758597,0.003570667,0.00018793,0.001566523,0.000718213,0.000683185,0.000790676,0.000162676,0.000877731,0.00161661,0.002657017
Yuncheng City,3,0.003634762,0.003453024,0.000181738,0.001506822,0.000697458,0.000664584,0.000765898,0.000157995,0.000849691,0.001560624,0.00256831
Zaozhuang City,3,0.004019562,0.003818584,0.000200978,0.001666986,0.000766227,0.000734525,0.000851824,0.000174763,0.000938118,0.001731916,0.002844797
Zhanjiang City,3,0.010766491,0.010228166,0.000538325,0.004465886,0.002064741,0.001969401,0.002266463,0.000661797,0.002539159,0.00331551,0.006516466
Zhangjiajie City,3,0.003923356,0.003727188,0.000196168,0.00163237,0.000750187,0.000712161,0.000828637,0.00016949,0.000915005,0.001692342,0.002776837
Zhangjiakou City,3,0.004229671,0.004018188,2.11E-04,0.001764062,0.000808291,0.000769457,0.000887862,1.83E-04,0.000987839,0.00182159,0.002992429
Zhangye City,3,0.001937141,0.001840283,9.69E-05,0.000806267,0.000368725,0.000352906,0.000409243,8.40E-05,0.000454135,0.000834192,0.001372327
Zhangzhou City,3,0.003209242,0.00304878,0.000160462,0.001331635,0.000614601,0.000585993,0.000677013,0.00019528,0.000758594,0.000995777,0.001949651
Changchun City,3,0.003943422,0.003746251,0.000197171,0.001637959,0.000754555,0.000712411,0.000838496,0.000241399,0.000756168,0.001390949,0.002388516
Changsha City,3,0.008353937,0.00793624,0.000417697,0.003461293,0.001594564,0.001527995,0.001770085,0.000727431,0.001081117,0.001989751,0.003798299
Changzhi City,3,0.006666915,0.006333569,0.000333346,0.002771714,0.001278478,0.001212415,0.001404307,0.000286525,0.001558147,0.002879498,0.00472417
Zhaotong City,3,0.015346554,0.014579226,0.000767328,0.006372373,0.002942394,0.002798732,0.003233055,0.000667112,0.003587207,0.006599598,0.010853917
Zhaoqing City,3,0.005713877,0.005428183,0.000285694,0.002371199,0.00109107,0.001043816,0.001207792,0.000246124,0.001338233,0.002460947,0.004045304
Zhenjiang City,3,0.005575697,0.005296912,0.000278785,0.002317904,0.001068889,0.001015583,0.001173321,0.000339876,0.00106777,0.001969438,0.003377084
Zhengzhou City,3,0.006438391,0.006116471,0.00032192,0.00266834,0.001238038,0.001176372,0.001355641,0.000560876,0.000835956,0.001539052,0.002935884
Zhongshan City,3,0.003502191,0.003327081,0.00017511,0.001449801,0.000674128,0.000641322,0.00073694,0.000212366,0.000828109,0.001086947,0.002127422
Zhongwei City,3,0.001657505,0.001574629,8.29E-05,0.000685555,0.000318149,0.000304171,0.000349629,7.14E-05,0.000387417,0.00071448,0.001173297
Chongqing,3,0.07149574,0.067920953,0.003574787,0.029718259,0.013626235,0.013044219,0.015107027,0.007346662,0.006643516,0.012286934,0.026277112
Zhoushan City,3,0.000920369,0.00087435,4.60E-05,0.00038214,0.000176865,0.000167876,0.000193487,3.98E-05,0.000264742,0.000346746,0.000651288
Zhoukou City,3,0.011158245,0.010600333,0.000557912,0.004635943,0.002142678,0.002035297,0.002344327,0.00068697,0.002128802,0.003929918,0.00674569
Zhuhai City,3,0.001672418,0.001588797,8.36E-05,0.000695089,0.000321172,0.000305712,0.000350445,0.000101638,0.000397654,0.000516779,0.001016071
Zhuzhou City,3,0.003950797,0.003753257,0.00019754,0.001640835,0.000756008,0.00071978,0.000834173,0.000241673,0.000758003,0.001396304,0.00239598
Zhumadian City,3,0.010310712,0.009795176,0.000515536,0.004281365,0.001974451,0.001880363,0.002174533,0.000449676,0.002408827,0.00443386,0.007292363
Ziyang City,3,0.01070336,0.010168192,0.000535168,0.004443604,0.002041347,0.0019554,0.002263009,0.0004606,0.002508894,0.00461946,0.007588954
Zibo City,3,0.00317317,0.003014512,0.000158659,0.001317616,0.00060558,0.000581263,0.000668711,0.000194395,0.000607163,0.00111978,0.001921338
Zigong City,3,0.011915986,0.011320187,0.000595799,0.004964159,0.002285614,0.002166594,0.00249962,0.000515755,0.002783534,0.005131947,0.008431236
Zunyi City,3,0.01288816,0.012243752,0.000644408,0.005343195,0.002473361,0.002357422,0.002714183,0.000791555,0.002466067,0.004536401,0.007794023
Altay Prefecture,4,0.003435569,0.003263791,0.000171778,0.001058687,0.000441406,0.000981225,0.000954251,0.000148037,0.000804964,0.001483849,0.00243685
Ankang City,4,0.009340886,0.008873842,0.000467044,0.002881774,0.001195345,0.002677778,0.002585989,0.000403688,0.002184806,0.00402093,0.006609424
Anqing City,4,0.011055627,0.010502846,0.000552781,0.003386127,0.001430048,0.003176262,0.003063191,0.00047551,0.002584517,0.004779986,0.007840013
Anshun City,4,0.00718759,0.006828211,0.00035938,0.002209388,0.000924648,0.002055057,0.001998498,0.000311368,0.001684083,0.003096953,0.005092404
Anyang City,4,0.006305312,0.005990047,0.000315266,0.001954701,0.000808882,0.001796497,0.001745232,0.000272633,0.001472133,0.002713984,0.00445875
Anshan City,4,0.009361465,0.008893392,0.000468073,0.00288358,0.001205397,0.002672701,0.002599787,0.000403466,0.002194618,0.004040203,0.006638287
Bayannur City,4,0.001723396,0.001637226,8.62E-05,0.000530417,0.000222432,0.000490209,0.000480338,7.42E-05,0.000403056,0.000742274,0.00121953
Bazhong City,4,0.017259385,0.016396416,0.000862969,0.005302118,0.002220262,0.004947926,0.004789079,0.000749868,0.0040293,0.00743645,0.012215618
Baicheng City,4,0.002308941,0.002193494,0.000115447,0.000709108,0.000297441,0.00066342,0.000638971,9.96E-05,0.000540581,0.000996534,0.001636734
Baishan City,4,0.00246581,0.00234252,0.000123291,0.000760043,0.000316736,0.000707871,0.000681161,0.00010705,0.000576733,0.001060369,0.001744152
Baiyin City,4,0.002954768,0.002807029,0.000147738,0.000907191,0.00037945,0.000847752,0.000820374,0.000127119,0.000693971,0.001276866,0.002097956
Baise City,4,0.011032838,0.010481196,0.000551642,0.003388115,0.001417212,0.003154073,0.003073438,0.000479916,0.002571767,0.004755861,0.007807544
Bengbu City,4,0.007233011,0.006871361,0.000361651,0.002237604,0.000928883,0.002061092,0.002005432,0.000313276,0.001685434,0.003114364,0.005113074
Baotou City,4,0.002946543,0.002799216,0.000147327,0.000907338,0.000377344,0.00084467,0.000817191,0.000126856,0.000689815,0.00126863,0.002085301
Baoji City,4,0.009816315,0.009325499,0.000490816,0.003017976,0.001267576,0.002808859,0.002721903,0.000424827,0.002295756,0.004219978,0.006940561
Baoding City,4,0.016805743,0.015965456,0.000840287,0.005174827,0.002162747,0.004801836,0.004666334,0.001024388,0.003224371,0.005951111,0.01019987
Baoshan City,4,0.007141888,0.006784794,0.000357094,0.002189917,0.000917257,0.002044467,0.001990248,0.000305361,0.001671812,0.003079235,0.005056408
Beihai City,4,0.003669928,0.003486432,0.000183496,0.001129853,0.000468883,0.00105248,0.001018712,0.000157871,0.001060714,0.001382698,0.002601283
Beijing,4,0.039455105,0.03748235,0.001972755,0.012176912,0.00503767,0.011324311,0.010916211,0.004058247,0.00368038,0.006754045,0.014492672
Benxi City,4,0.004660737,0.0044277,0.000233037,0.001435577,0.000598425,0.001330958,0.001295776,0.000200997,0.001089913,0.00201059,0.0033015
Bijie City,4,0.026192951,0.024883303,0.001309648,0.008060197,0.003368053,0.00751779,0.007246911,0.001142571,0.006087006,0.011242138,0.018471715
Binzhou City,4,0.006217362,0.005906494,0.000310868,0.001916128,0.000797568,0.001781773,0.001721894,0.000267999,0.001802049,0.002339908,0.004409956
Bozhou City,4,0.010947635,0.010400254,0.000547382,0.003370107,0.001402925,0.003129665,0.003044938,0.000473348,0.002561632,0.004720547,0.007755527
Cangzhou City,4,0.010971753,0.010423165,5.49E-04,0.003393259,0.001405376,0.003139724,0.003033393,6.77E-04,0.00258468,0.003368652,0.006630332
Chamdo City,4,0.011038602,0.010486672,0.00055193,0.003403821,0.001420706,0.003168444,0.003045631,0.000475731,0.002588841,0.004756728,0.0078213
Changde City,4,0.017708844,0.016823402,0.000885442,0.005458212,0.002276695,0.005071114,0.004902823,0.001076102,0.003400465,0.006268109,0.010744676
Changzhou City,4,0.009684137,0.00919993,0.000484207,0.00298373,0.001247806,0.002770607,0.002681993,0.000595444,0.001852658,0.003398585,0.005846687
Chaohu City,4,0.002864656,0.002721423,0.000143233,0.000883427,0.000365642,0.000822514,0.000793072,0.000122283,0.000672543,0.001239418,0.002034244
Chaoyang City,4,0.010370703,0.009852168,0.000518535,0.003188678,0.001333564,0.002964681,0.002883779,0.000448692,0.002429951,0.00447054,0.007349183
Chaozhou City,4,0.004040834,0.003838792,0.000202042,0.001247168,0.00051714,0.001160111,0.001116414,0.000174557,0.001161603,0.0015211,0.00285726
Chenzhou City,4,0.009019798,0.008568808,0.00045099,0.002777463,0.001162039,0.002574992,0.002505303,0.000391448,0.002105962,0.00387941,0.00637682
Chengdu City,4,0.03793468,0.036037946,0.001896734,0.011657487,0.004887074,0.010864407,0.010525711,0.003305041,0.004940501,0.009113717,0.017359259
Chengde City,4,0.007985742,0.007586455,3.99E-04,0.002465639,0.00102278,0.00228065,0.002216673,3.46E-04,0.00186323,0.003449752,0.005658982
Chizhou City,4,0.00360563,0.003425349,0.000180282,0.001111323,0.00046399,0.001034403,0.000995914,0.000155302,0.000845505,0.001554873,0.00255568
Chifeng City,4,0.006855991,0.006513191,0.0003428,0.002114911,0.000882051,0.001966048,0.001892981,0.000417571,0.001316329,0.002420811,0.004154711
Chongzuo City,4,0.006001833,0.005701741,0.000300092,0.001851383,0.000770627,0.001718011,0.001661812,0.000258721,0.001409978,0.002589133,0.004257832
Chuzhou City,4,0.01103932,0.010487354,0.000551966,0.003399005,0.001418436,0.003155199,0.003066681,0.000478751,0.002586849,0.004741574,0.007807174
Chuxiong Yi Autonomous Prefecture,4,0.006923179,0.00657702,0.000346159,0.002129688,0.000887385,0.001982593,0.001923513,0.000301416,0.001611622,0.002972004,0.004885042
Dazhou City,4,0.0248121,0.023571495,0.001240605,0.007607997,0.003203229,0.007113719,0.006887155,0.00106955,0.005789067,0.010701407,0.017560024
Dali Bai Autonomous Prefecture,4,0.009821513,0.009330438,0.000491076,0.003017004,0.001257348,0.002819541,0.00272762,0.000419194,0.002303199,0.004256811,0.006979204
Dalian City,4,0.009263296,0.008800132,0.000463165,0.002852209,0.001189108,0.002652758,0.002569222,0.000568003,0.00218522,0.002858601,0.005611824
Daqing City,4,0.004255384,0.004042615,0.000212769,0.001313358,0.000547658,0.001213269,0.001181098,0.000182981,0.000996593,0.001837877,0.003017451
Datong City,4,0.006241031,0.005928979,0.000312052,0.001932783,0.000804722,0.001775567,0.001727959,0.000270416,0.001459158,0.002684271,0.004413845
Dandong City,4,0.005760447,0.005472425,0.000288022,0.001776881,0.000738993,0.001646082,0.00159849,0.000249578,0.001661923,0.002162673,0.004074174
Deyang City,4,0.013372214,0.012703603,0.000668611,0.004128629,0.001722771,0.003828406,0.003692407,0.000578602,0.003137008,0.005766098,0.009481708
Dezhou City,4,0.013975727,0.013276941,0.000698786,0.004300773,0.001786458,0.004006873,0.003881622,0.00085142,0.002682072,0.004944656,0.008478148
Diqing Tibetan Autonomous Prefecture,4,0.003040226,0.002888215,0.000152011,0.000932518,0.000390972,0.0008701,0.000846636,0.000132589,0.000708911,0.001303613,0.002145113
Dingxi City,4,0.007264378,0.006901159,0.000363219,0.00224511,0.000935026,0.002072095,0.002012147,0.000313302,0.001703936,0.003130749,0.005147987
Dongguan City,4,0.01662037,0.015789352,0.000831019,0.005110141,0.002141976,0.004751785,0.004616468,0.000721333,0.004784909,0.006257273,0.011763515
Dongying City,4,0.001870998,0.001777448,9.35E-05,0.000578783,0.000240357,0.00053521,0.000516649,0.000114861,0.000438555,0.000576748,0.001130164
Ordos City,4,0.003440251,0.003268238,0.000172013,0.00105862,0.000443237,0.00098641,0.000951983,0.000208798,0.000661723,0.001216868,0.002087389
Ezhou City,4,0.001716592,0.001630762,8.58E-05,0.000529823,0.000220074,0.000492622,0.000474074,7.49E-05,0.000399569,0.000735945,0.001210414
Enshi Tujia and Miao Autonomous Prefecture,4,0.005866073,0.005572769,0.000293304,0.0018054,0.000751576,0.001678756,0.001630341,0.00025041,0.001373621,0.002537692,0.004161723
Fangchenggang City,4,0.002592799,0.002463159,0.00012964,0.000797468,0.000332608,0.000742015,0.000720708,0.000112565,0.000746086,0.000976729,0.00183538
Foshan City,4,0.019336026,0.018369225,0.000966801,0.005944522,0.002481071,0.005549109,0.005361324,0.001697732,0.002501545,0.004589874,0.008789151
Fuzhou City (Fujian),4,0.009429673,0.00895819,0.000471484,0.002896692,0.001215054,0.002707516,0.002610412,0.000825454,0.001502882,0.001960788,0.004289124
Fushun City,4,0.004684885,0.004450641,0.000234244,0.001443239,0.000602828,0.001337577,0.001301241,0.000202894,0.001098987,0.002014073,0.003315954
Fuzhou City (Jiangxi),4,0.008878761,0.008434823,0.000443938,0.002737116,0.001139498,0.002543151,0.002458996,0.000385473,0.002071156,0.003815344,0.006271973
Fuxin City,4,0.003730064,0.003543561,0.000186503,0.001146187,0.000481385,0.001070136,0.001032356,0.000161246,0.000872156,0.001606762,0.002640164
Fuyang City,4,0.015108166,0.014352758,0.000755408,0.004649522,0.001950055,0.004319447,0.004189142,0.000652093,0.003524056,0.006506677,0.010682826
Ganzhou City,4,0.013113442,0.01245777,0.000655672,0.004036011,0.001688948,0.003758622,0.003629861,0.000795911,0.002526937,0.004646373,0.007969221
Guyuan City,4,0.002500073,0.002375069,0.000125004,0.000771332,0.000322141,0.000714548,0.000692052,0.000108924,0.000582707,0.001074533,0.001766164
Guang'an City,4,0.020321914,0.019305818,0.001016096,0.006274681,0.002606234,0.005816295,0.005624704,0.000874381,0.00476067,0.008771517,0.014406568
Guangyuan City,4,0.029915804,0.028420014,0.00149579,0.009169519,0.003849579,0.00856794,0.008328766,0.001291709,0.006996495,0.012899006,0.02118721
Guangzhou City,4,0.028276114,0.026862309,0.001413806,0.008740071,0.003626236,0.008081559,0.007828249,0.002917065,0.003200017,0.004190033,0.010307115
Guigang City,4,0.009620973,0.009139925,0.000481049,0.002970727,0.0012407,0.0027496,0.002659947,0.000416976,0.002247008,0.004138975,0.006802959
Guiyang City,4,0.010779395,0.010240425,0.00053897,0.003321539,0.001387507,0.003081939,0.00298841,0.000658982,0.002056498,0.003802138,0.006517618
Guilin City,4,0.011094242,0.01053953,0.000554712,0.003414888,0.001429277,0.003174029,0.003076047,0.000480877,0.002590902,0.004784377,0.007856156
Harbin City,4,0.014907856,0.014162463,0.000745393,0.004593792,0.001916156,0.004269534,0.004128373,0.000908225,0.002854758,0.005256425,0.009019408
Hami City,4,0.003260793,0.003097754,0.00016304,0.00100564,0.000418276,0.000932546,0.000904331,0.00014216,0.000759553,0.001399826,0.002301539
Haidong City,4,0.011868397,0.011274978,0.00059342,0.003652724,0.001531083,0.003385426,0.003299164,0.000512862,0.002770145,0.00511739,0.008400397
Haikou City,4,0.002697777,0.002562888,0.000134889,0.000827405,0.000346399,0.000771335,0.000752638,0.000116772,0.000775516,0.001015272,0.00190756
Handan City,4,0.013483411,0.012809241,0.000674171,0.004167516,0.001739917,0.003843032,0.003732947,0.000820541,0.002593974,0.00476651,0.008181025
Hanzhong City,4,0.015262898,0.014499753,0.000763145,0.004706952,0.00196105,0.0043531,0.004241796,0.000670903,0.003548511,0.006550747,0.010770161
Hangzhou City,4,0.016802199,0.015962089,0.00084011,0.005182019,0.002144525,0.004805646,0.004670008,0.001460294,0.002192089,0.004046257,0.00769864
Hefei City,4,0.010964574,0.010416345,0.000548229,0.003375069,0.001408752,0.003126951,0.003053801,0.000953263,0.001423373,0.002626546,0.005003182
