City,level,PMs,PMs1,PMs2,yagao,myl,msg,xmn,soil,ocean,river,emission
Yancheng City,1,0.000363775,0.000345586,1.82E-05,0.000151374,6.97E-05,6.62E-05,7.64E-05,2.21E-05,8.61E-05,0.000112355,0.000220555
Yangzhou City,1,0.000205331,0.000195064,1.03E-05,8.50E-05,3.94E-05,3.77E-05,4.32E-05,1.26E-05,3.94E-05,7.24E-05,0.0001244
Yangjiang City,1,6.51E-05,6.18E-05,3.25E-06,2.70E-05,1.25E-05,1.20E-05,1.37E-05,2.84E-06,1.86E-05,2.45E-05,0.00004594
Yangquan City,1,0.000268667,0.000255234,1.34E-05,0.000111235,5.16E-05,4.90E-05,5.68E-05,1.17E-05,6.27E-05,0.000115485,0.000189885
Yichun City (Heilongjiang),1,0.000149867,0.000142374,7.49E-06,6.21E-05,2.88E-05,2.74E-05,3.16E-05,6.51E-06,3.51E-05,6.43E-05,0.00010591
Yibin City,1,0.000712555,0.000676927,3.56E-05,0.000295996,0.000136786,0.000129984,0.000149789,3.08E-05,0.000166527,0.000306958,0.000504285
Yichang City,1,0.00027328,0.000259616,1.37E-05,0.000113521,5.24E-05,5.01E-05,5.73E-05,1.66E-05,5.27E-05,9.66E-05,0.0001659
Yichun City (Jiangxi),1,0.000341759,0.000324671,1.71E-05,0.000141811,6.52E-05,6.25E-05,7.22E-05,1.48E-05,8.02E-05,0.000147516,0.000242516
Yiyang City,1,0.000155263,0.0001475,7.76E-06,6.44E-05,2.97E-05,2.85E-05,3.27E-05,6.73E-06,3.62E-05,6.68E-05,0.00010973
Yinchuan City,1,0.000109969,0.000104471,5.50E-06,4.57E-05,2.10E-05,2.01E-05,2.32E-05,4.74E-06,2.57E-05,4.74E-05,0.00007784
Yingtan City,1,0.000102423,9.73E-05,5.12E-06,4.27E-05,1.96E-05,1.87E-05,2.15E-05,4.44E-06,2.40E-05,4.41E-05,0.00007254
Yingkou City,1,0.000118242,0.00011233,5.91E-06,4.91E-05,2.27E-05,2.16E-05,2.49E-05,5.07E-06,3.42E-05,4.46E-05,0.00008387
Yongzhou City,1,0.000601832,0.000571741,3.01E-05,0.000248982,0.000115711,0.00011012,0.000127018,2.62E-05,0.000140758,0.000258487,0.000425445
Yulin City (Shaanxi),1,0.000403652,0.00038347,2.02E-05,0.000167525,7.72E-05,7.39E-05,8.50E-05,2.46E-05,7.72E-05,0.000142387,0.000244187
Yulin City (Guangxi),1,0.00024555,0.000233273,1.23E-05,0.000101719,4.70E-05,4.50E-05,5.19E-05,1.05E-05,5.77E-05,0.000106173,0.000174373
