City,level,MFs_generation,MW,HW,MFs_emission,ocean,soil,river
Hechi City,7,7.572158697,7.2989651,0.273193597,5.697306282,1.866370885,0.397831971,3.433103426
Heyuan City,7,6.654945331,6.429068045,0.225877286,4.998841623,1.635239924,0.350279597,3.013322102
Heze City,7,19.69187645,19.21132987,0.480546576,12.58129716,3.947150381,1.347645584,7.286501199
Hezhou City,7,4.53018132,4.368669177,0.161512143,3.399898098,1.118713271,0.239120629,2.042064197
Hebi City,7,3.483426111,3.40508376,0.078342351,2.602130912,0.856294713,0.174033843,1.571802356
Hegang City,7,2.080557068,2.01937163,0.061185438,1.562573458,0.511776695,0.106755507,0.944041255
Heihe City,7,3.38793722,3.289846403,0.098090817,2.531725257,0.829229803,0.175164095,1.527331358
Hengshui City,7,9.478848364,9.283570014,0.19527835,7.074538971,2.320673307,0.467551577,4.286314087
Hengyang City,7,16.07606405,15.64808329,0.427980754,10.31221909,3.239387574,1.096016469,5.976815048
Honghe Hani and Yi Autonomous Prefecture,7,10.38669963,10.08635863,0.300341006,7.791196977,2.561163239,0.532649959,4.697383778
Hohhot City,7,6.68353734,6.509166985,0.174370355,4.984755301,1.630489376,0.342172805,3.012093121
Hulunbuir City,7,5.437569821,5.297128512,0.140441308,4.067056008,1.330242793,0.275597268,2.461215947
Huludao City,7,5.860562135,5.675877226,0.18468491,4.387894865,1.771286172,0.30260324,2.314005453
Huzhou City,7,5.951594629,5.751182532,0.200412097,3.829085599,1.203285475,0.411755162,2.214044962
Huaihua City,7,10.45053663,10.17416638,0.27637025,7.810118429,2.556330706,0.529421324,4.724366398
Huai'an City,7,10.8955687,10.68514247,0.210426232,6.936580861,2.182011213,0.735393008,4.01917664
Huaibei City,7,4.654775078,4.512948987,0.141826091,3.473924759,1.134212553,0.244423655,2.095288552
Huainan City,7,8.442884513,8.192942072,0.249942441,6.334608821,2.079436163,0.432166509,3.823006149
Huanggang City,7,13.54180398,13.10138944,0.440414534,10.14627103,3.32946436,0.703185888,6.11362078
Huangshan City,7,3.219262633,3.124118885,0.095143749,2.40931079,0.787969426,0.166389842,1.454951522
Huangshi City,7,5.326777019,5.158387174,0.168389845,3.984084353,1.307096219,0.276986842,2.400001292
Huizhou City,7,10.8766539,10.51106565,0.365588252,7.001436483,2.704956979,0.753536486,3.542943018
Jixi City,7,3.559294274,3.455832338,0.103461935,2.661776895,0.872358805,0.183246744,1.606171345
Ji'an City (Jiangxi),7,10.79180584,10.203436,0.588369841,8.101105164,2.634010064,0.621275083,4.845820017
Jilin City,7,8.820255238,8.560651883,0.259603356,6.609117914,2.163053584,0.454821946,3.991242384
Jinan City,7,22.24217278,21.69816099,0.544011794,10.81190627,3.066248205,2.088439669,5.657218396
Jining City,7,18.83856468,18.37957778,0.458986898,12.08291545,3.802606667,1.279542091,7.000766691
Jiamusi City,7,4.870666486,4.728247325,0.142419161,3.63043321,1.186275846,0.254568138,2.189589225
Jiaxing City,7,8.145929381,7.876477729,0.269451652,5.23887891,2.028347699,0.565391022,2.64514019
Jiayuguan City,7,0.54337567,0.528926216,0.014449454,0.405866906,0.133175931,0.027859682,0.244831293
