City,level,Total,car,airplane,Emission,ocean,oil,river
Guangyuan City,1,0.542975778,0.542812524,0.000163253,0.539440442,0.054964793,0.383841452,0.100634197
Guangzhou City,1,1.777502469,1.773022974,0.004479495,1.455203152,0.197263045,0.994127144,0.263812963
Guigang City,1,0.279720589,0.279720589,0,0.277889052,0.02941878,0.194466624,0.054003648
Guiyang City,1,0.854809326,0.851864626,0.0029447,0.849391747,0.085643505,0.605432978,0.158315264
Guilin City,1,0.828040998,0.827852247,0.000188751,0.82250681,0.091034186,0.563783204,0.16768942
Harbin City,1,0.628035341,0.627839411,0.00019593,0.623502022,0.063436723,0.443036709,0.11702859
Hami City,1,0.479561351,0.479486601,7.48E-05,0.476387449,0.048244502,0.339290361,0.088852586
Haidong City,1,0.297710846,0.297710846,0,0.295858909,0.029826305,0.211031674,0.05500093
Haikou City,1,0.148903146,0.148414959,0.000488187,0.147934139,0.018335318,0.105181243,0.024417578
Handan City,1,0.818940942,0.818815374,0.000125567,0.814176898,0.082514658,0.579384113,0.152278127
Hanzhong City,1,0.360942874,0.360873611,6.93E-05,0.358297901,0.037999747,0.250618111,0.069680043
Hangzhou City,1,0.981304245,0.98056188,0.000742365,0.957541114,0.092956472,0.693196082,0.17138856
Hefei City,1,0.998634171,0.998381057,0.000253113,0.974910456,0.101093193,0.687072336,0.186744927
Hechi City,1,0.476190121,0.476185071,5.05E-06,0.473158381,0.050071314,0.33094284,0.092144227
Heyuan City,1,0.167955185,0.167955185,0,0.16686025,0.018416859,0.114493864,0.033949527
Heze City,1,0.766472871,0.766472871,0,0.761094043,0.077253577,0.541698491,0.142141975
Hezhou City,1,0.201249322,0.201249322,0,0.199863637,0.022117524,0.137026918,0.040719195
Hebi City,1,0.250526861,0.250526861,0,0.248766892,0.025307197,0.177090684,0.046369011
Hegang City,1,0.119277979,0.119277979,0,0.118560368,0.011990106,0.084479109,0.022091153
Heihe City,1,0.22426202,0.224194214,6.78E-05,0.22297079,0.022611168,0.158635047,0.041724575
Hengshui City,1,1.148431202,1.148431202,0,1.141469289,0.115923668,0.812950589,0.212595032
Hengyang City,1,0.278315578,0.278243302,7.23E-05,0.276668029,0.027977988,0.197212548,0.051477493
Honghe Hani and Yi Autonomous Prefecture,1,0.276906996,0.276906996,0,0.27522484,0.027980906,0.195716447,0.051527487
Hohhot City,1,0.866456874,0.866116011,0.000340863,0.86099073,0.087127991,0.612904396,0.160958343
Hulunbuir City,1,0.39879216,0.398455025,0.000337135,0.39636798,0.040253488,0.281691448,0.074423044
Huludao City,1,0.084805496,0.084805496,0,0.084259843,0.010297652,0.060136187,0.013826004
Huzhou City,1,0.241661985,0.241661985,0,0.240008333,0.025382243,0.167815505,0.046810585
Huaihua City,1,0.228123963,0.227961195,0.000162768,0.226621448,0.022994615,0.161107742,0.042519091
Huai'an City,1,0.074233023,0.074229526,3.50E-06,0.073705483,0.00744608,0.052511152,0.013748251
Huaibei City,1,0.431616514,0.431616514,0,0.429019029,0.043578623,0.304974118,0.080466288
Huainan City,1,0.145662348,0.145662348,0,0.144825118,0.014702647,0.103105062,0.027017409
Huanggang City,1,0.195079988,0.195079988,0,0.194025043,0.019594732,0.138165524,0.036264787
Huangshan City,1,1.226205419,1.225912065,0.000293354,1.219717075,0.129793225,0.851671125,0.238252725
Huangshi City,1,0.277213917,0.277213917,0,0.275291188,0.028033992,0.19576948,0.051487716
Huizhou City,1,1.304720366,1.304566395,0.000153971,1.296401556,0.174328069,0.890469312,0.231604175
Jixi City,1,0.325174703,0.325134591,4.01E-05,0.323048409,0.032840231,0.229768666,0.060439512
Ji'an City (Jiangxi),1,0.285187501,0.285137815,4.97E-05,0.283524962,0.031185833,0.194847832,0.057491297
Jilin City,1,0.260737889,0.260737889,0,0.25896139,0.026544571,0.183534698,0.048882121
Jinan City,1,1.064978858,1.062872954,0.002105905,1.039054398,0.107194082,0.733691535,0.198168781
Jining City,1,1.044051065,1.044019599,3.15E-05,1.0367688,0.106006772,0.735781357,0.194980671
Jiamusi City,1,0.200738746,0.200694941,4.38E-05,0.199478325,0.020259379,0.141996224,0.037222722
Jiaxing City,1,0.229265418,0.229265418,0,0.227585265,0.029194637,0.159304024,0.039086604
Jiayuguan City,1,0.021980701,0.021803906,0.000176796,0.021835746,0.002231852,0.01551511,0.004088784
Jiangmen City,1,0.727108891,0.727108891,0,0.722002402,0.09706257,0.496025426,0.128914406
Jiaozuo City,1,0.103655812,0.103655812,0,0.102993048,0.010405976,0.073253277,0.019333795
Jieyang City,1,0.379668822,0.379387514,0.000281308,0.37726691,0.051134209,0.25818593,0.067946771
Jinchang City,1,0.060666757,0.060536731,0.000130026,0.060325494,0.006113955,0.042961609,0.01124993
Jinhua City,1,0.349260584,0.349256684,3.90E-06,0.346945065,0.038323565,0.238024569,0.070596931
Jinzhou City,1,0.227419438,0.227409541,9.90E-06,0.225954771,0.027932337,0.160419317,0.037603117
Jincheng City,1,0.136806609,0.136806609,0,0.135906909,0.013768542,0.096791394,0.025346973
Jinzhong City,1,0.397962956,0.397962956,0,0.395357155,0.040007502,0.2815291,0.073820553
Jingmen City,1,0.179569938,0.179569938,0,0.178551138,0.018021481,0.127357607,0.03317205
Jingzhou City,1,0.300125776,0.300125776,0,0.298230002,0.030288537,0.212332292,0.055609173
Jingdezhen City,1,0.204750164,0.204388484,0.00036168,0.203587924,0.021739414,0.141777593,0.040070917
Jiujiang City,1,0.921507238,0.921507238,0,0.915481826,0.092538189,0.65248177,0.170461867
Jiuquan City,1,0.150533252,0.150435015,9.82E-05,0.149576281,0.015130646,0.106536004,0.027909631
Kashgar Prefecture,1,3.892577765,3.88675872,0.005819045,3.86829209,0.394831597,2.747723647,0.725736846
Kaifeng City,1,0.146011645,0.146011645,0,0.145138915,0.01476682,0.103144871,0.027227224
Karamay City,1,0.693484978,0.693008745,0.000476234,0.68938514,0.069710232,0.491277982,0.128396926
Kizilsu Kirgiz Autonomous Prefecture,1,0.467671074,0.467671074,0,0.464515379,0.042327311,0.344317064,0.077871004
Kunming City,1,0.973113981,0.969689749,0.003424232,0.966369465,0.098559278,0.685133057,0.18267713
Lhasa City,1,0.653953842,0.65380772,0.000146121,0.649837131,0.065961081,0.461815697,0.122060353
Laibin City,1,0.182829424,0.182829424,0,0.181549115,0.019230629,0.126955224,0.035363262
Lanzhou City,1,0.63134114,0.631127969,0.00021317,0.627207489,0.063923603,0.445665038,0.117618848
Langfang City,1,0.429731056,0.429731056,0,0.426703056,0.043037378,0.304546366,0.079119312
Leshan City,1,0.241340051,0.241340051,0,0.239939095,0.025264599,0.167799954,0.046874542
Lijiang City,1,0.226684702,0.226331892,0.000352809,0.225296787,0.022910893,0.160109781,0.042276113
Lishui City,1,0.060502228,0.060502228,0,0.060127522,0.006651796,0.041233441,0.012242285
Lianyungang City,1,0.174907715,0.174881462,2.63E-05,0.173816992,0.021286836,0.123898263,0.028631893
Liaoyang City,1,0.088734241,0.088734241,0,0.088254056,0.008040313,0.065428737,0.014785006
Liaoyuan City,1,0.160482331,0.160482331,0,0.159483065,0.016146965,0.113708505,0.029627595
Liaocheng City,1,0.599806921,0.599806921,0,0.595573627,0.060360955,0.423962268,0.111250404
Nyingchi City,1,0.29911082,0.29911082,0,0.297531344,0.030199489,0.211875154,0.055456701
Lincang City,1,0.272986144,0.272986122,2.17E-08,0.271239563,0.027506676,0.193044125,0.050688762
Linfen City,1,0.216609561,0.216560831,4.87E-05,0.215140813,0.01955207,0.159557144,0.036031599
Linyi City,1,0.452433366,0.45232011,0.000113257,0.449511788,0.045558429,0.319934851,0.084018508
