City,Category,level,MPs_ge,TWP_ge,MFs_ge,PMs_ge,MPs_em,TWP_em,MFs_em,PMs_em
Yangjiang City,Medium-small-cities,9,168.0644748,162.1700193,5.670566065,0.223889435,165.3445601,160.9503658,4.235205494,0.158988794
Yangquan City,Medium-small-cities,9,130.3679147,127.1369956,3.109175458,0.12174362,128.567674,126.166345,2.315241936,0.086087039
Yichun City (Heilongjiang),Medium-small-cities,9,50.33897057,47.76841533,2.472534554,0.098020694,49.34308105,47.43453684,1.83913977,0.069404444
Yibin City,Medium-small-cities,9,341.1568577,328.616909,12.0274931,0.512455587,335.5585829,326.2292859,8.966099411,0.363197518
Yichang City,Largecities,9,284.2862187,274.4491398,9.488659063,0.348419896,276.7369408,270.4695314,6.056093369,0.211316037
Yichun City (Jiangxi),Medium-small-cities,9,380.0734409,367.0516846,12.48849259,0.533263693,374.0749289,364.3308112,9.366010558,0.378107145
Yiyang City,Medium-small-cities,9,158.2582732,148.1704496,9.668648928,0.419174651,154.4819303,146.989285,7.196428837,0.29621646
Yinchuan City,Medium-small-cities,9,555.7803871,550.5819022,4.985690145,0.212794735,549.9230468,546.0713208,3.701353819,0.150372207
Yingtan City,Medium-small-cities,9,75.55505737,72.82844345,2.617820999,0.108792923,74.3738791,72.33417545,1.96279394,0.076909704
Yingkou City,Medium-small-cities,9,218.8780672,213.6866668,4.983576726,0.207823702,215.8361351,211.9741586,3.714753174,0.147223371
Yongzhou City,Medium-small-cities,9,181.4968334,169.0982499,11.89078716,0.507796425,177.0609475,167.8644967,8.836947026,0.359503709
Yulin City (Shaanxi),Largecities,9,331.9903247,324.0032031,7.656663978,0.330457683,324.5602224,319.470508,4.889699824,0.200014546
Yulin City (Guangxi),Medium-small-cities,9,336.8616421,323.3366795,12.94574024,0.579222329,331.0874386,321.0150307,9.662921064,0.409486901
Yuxi City,Medium-small-cities,9,188.9613095,183.5658898,5.17372105,0.221698679,186.2359645,182.2386992,3.840406869,0.156858378
Yueyang City,Largecities,9,231.330799,217.67752,13.10113709,0.552141983,223.2294103,214.545832,8.348732821,0.334845473
Yunfu City,Medium-small-cities,9,137.8795413,131.951666,5.689571639,0.238303638,135.4503768,131.039273,4.242700872,0.16840292
Yuncheng City,Medium-small-cities,9,552.3219381,539.9258358,11.88575535,0.510346951,545.3358318,536.12235,8.852646579,0.360835218
Zaozhuang City,Medium-small-cities,9,407.8551598,398.9835864,8.496743005,0.37483038,402.8359243,396.245907,6.324391852,0.265625419
Zhanjiang City,Largecities,9,279.5860013,261.7789154,17.07214704,0.734938799,269.4658697,258.1097617,10.91053193,0.445576074
Zhangjiajie City,Medium-small-cities,9,57.31857301,53.81384716,3.372152693,0.132573155,55.9581864,53.3571123,2.507087829,0.093986269
Zhangjiakou City,Medium-small-cities,9,347.0041903,336.8044984,9.811872272,0.387819544,341.7507959,334.1844966,7.292484675,0.273814668
Zhangye City,Medium-small-cities,9,89.26134824,86.39949791,2.735162266,0.126688056,87.87357774,85.75284862,2.031333104,0.089396022
Zhangzhou City,Largecities,9,247.9763174,235.7588044,11.7899472,0.427565831,240.2754865,232.4629779,7.553170876,0.259337746
Changchun City,Largecities,9,871.203678,853.3486973,17.19117611,0.6638046,852.5217364,841.1731407,10.94637654,0.402219213
Changsha City,Extra-large-cities,9,922.7848041,900.408032,21.62964869,0.747123384,852.4301659,841.6743158,10.41615292,0.339697095
Changzhi City,Medium-small-cities,9,345.8629532,337.8515686,7.67483719,0.336547346,341.5431956,335.5843244,5.72073476,0.238136493
Zhaotong City,Medium-small-cities,9,159.8678991,147.1758123,12.19276172,0.499325091,155.5041921,146.0882327,9.061412266,0.35454714
Zhaoqing City,Medium-small-cities,9,244.9402298,235.4786086,9.064997677,0.396623474,240.7472634,233.7078453,6.759193891,0.280224216
Zhenjiang City,Largecities,9,262.9371036,255.3968328,7.241619212,0.298651626,256.7166644,251.949134,4.586659112,0.180871247
Zhengzhou City,Extra-large-cities,9,1729.945624,1702.105825,26.84321167,0.996587722,1604.068668,1590.663853,12.9497527,0.455062786
