1182.06,160,35.13,45,2195.625,25489,1,0,0,2.059712033
2380.5,311.5,64.67,129.5,2076.083467,20853,1,0,0,1.793506929
2229.3,153,76.5,88,5000,12994,1,0,0,2.239495152
875.01,80.51,39.78,51,4941.001118,23120,1,0,0,1.669550173
754.29,162.3,46.37,60.83,2857.054837,18524.652,1,0,0,1.921763497
491.5546,67.5,26.61,46.86,3942.222222,12470.43,1,0,0,2.67593018
2057.2,365.48,96.61,151,2643.373098,9470,1,0,0,1.953537487
2212.76,156.3,93.82,96.73,6002.559181,17003,1,0,0,1.834970299
960.68,68,35.71,37.52,5251.470588,14425,1,0,0,2.398613518
1300.8,957,53.09,85.97,554.754441,3012,1,0,0,5.843293493
35371.3,16410,1865,1469.05,1137,22366,1,0,0,5.222212287
781,1518,81.45,109,536.5612648,4394.808,1,0,0,0
1901.36,170.08,44.78,49,2632.878645,33087,1,0,0,2.986067035
1749,86.9,37.05,72,4263.521289,16359,1,0,0,1.956109787
3624.2,332.07,79.25,105.11,2386.545006,22651,1,0,0,1.898370933
433.4321,48,36.12,48,7525,2687,1,0,0,1.89802754
2410.9,580,66.92,78.9,1153.793103,17991,1,0,0,3.196042466
831.7,252.93,31.04,40.55,1227.217017,9429,1,0,0,2.757450419
7057.35,560,97.28,114.18,1737.142857,27314.06,1,0,0,2.330228461
2909.1,282.6,55.57,92.32,1966.383581,18427,1,0,0,3.001031096
1251.9,51.22,33.7,49.71,6579.461148,20189,1,0,0,1.926791817
1374.93,87.2,36.67,54.85,4205.275229,20296,1,0,0,2.399487584
7002,1523,441.49,444.04,2898.818122,13735,1,0,0,3.866035675
1021.9886,130.2,127.33,125.2,9779.569892,12750,1,0,0,4.407843137
251.2,61.1,9.58,18.03,1567.92144,7772,1,0,0,0.386001029
416.38,35.9,20.97,25.22,5841.225627,12612.799,1,0,0,2.617404749
1698.2,2460.08,956.08,1194.31,3886.377679,5283.86,1,0,0,7.683208866
1159.37,120,28.39,41.28,2365.833333,27929.33,1,0,0,0
10751.02,557.33,192.15,161.25,3447.688084,5308.802,1,0,0,10.26376572
9392.3,758.57,313.37,301.28,4131.062394,11659.142,1,0,0,5.768263222
1510.92,135.25,82.44,101.83,6095.378928,19256,1,0,0,3.920855837
