City,Category,level,population,synthetic fibers,FrequencyMW,FrequencyHW,EF-MW,EF-HW,Load-MW,Load-HW,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,8.596986289,0.58157,76.01,63.02,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,30.80712751,0.58157,76.01,67.05,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,61.13605577,0.58157,76.01,69.77,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,29.98781109,0.58157,76.01,62.75,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,61.71605625,0.58157,76.01,62.47,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,36.8417832,0.58157,76.01,70.86,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,19.72974896,0.58157,76.01,65.59,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,40.59618098,0.58157,76.01,65.15,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,20.63867239,0.58157,76.01,68.85,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,12.66142882,0.58157,76.01,68.85,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baiyin City,Medium-small-cities,1,20.675071,0.58157,76.01,66.46,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baise City,Medium-small-cities,1,46.76882828,0.58157,76.01,75.19,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bengbu City,Medium-small-cities,1,44.67981828,0.58157,76.01,69.77,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baotou City,Medium-small-cities,1,33.7408989,0.58157,76.01,65.59,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoji City,Medium-small-cities,1,43.31586473,0.58157,76.01,67.05,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoding City,Largecities,1,109.9523358,0.58157,76.01,60.55,56,11.5464,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.500031579,0.20896842100000002,0.271,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoshan City,Medium-small-cities,1,32.30152748,0.58157,76.01,68.55,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Beihai City,Medium-small-cities,1,21.57068565,0.58157,76.01,75.19,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Beijing,Megacities,1,107.650737,0.58157,76.01,60.69,56,11.5464,5,3.8,0.14,0.86,0.1,0.5,0.4,1,1,0.02,0.13429508199999998,0.37770491799999995,0.46799999999999997,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Benxi City,Medium-small-cities,1,15.66697373,0.58157,76.01,70.86,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bijie City,Medium-small-cities,1,87.53761272,0.58157,76.01,62.75,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Binzhou City,Medium-small-cities,1,45.45518131,0.58157,76.01,64.29,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Bozhou City,Medium-small-cities,1,76.68204172,0.58157,76.01,69.77,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Cangzhou City,Largecities,1,78.03512768,0.58157,76.01,60.55,56,11.5464,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.500031579,0.20896842100000002,0.271,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Chamdo City,Medium-small-cities,1,9.020860897999999,0.58157,76.01,82.66,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changde City,Largecities,1,58.80959304,0.58157,76.01,66.17,56,11.5464,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.500031579,0.20896842100000002,0.271,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changzhou City,Largecities,1,47.96802943,0.58157,76.01,59.61,56,11.5464,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.500031579,0.20896842100000002,0.271,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaohu City,Medium-small-cities,1,9.289886109,0.58157,76.01,69.77,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaoyang City,Medium-small-cities,1,36.31051558,0.58157,76.01,70.86,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaozhou City,Medium-small-cities,1,34.944232899999996,0.58157,76.01,73.23,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Chenzhou City,Medium-small-cities,1,55.40441164,0.58157,76.01,66.17,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chengdu City,Extra-large-cities,1,91.29124121,0.58157,76.01,65.15,56,11.5464,5,3.8,0.29,0.71,0.15,0.55,0.3,1,1,0.02,0.014736842,0.6852631579999999,0.28,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chengde City,Medium-small-cities,1,42.37928386,0.58157,76.01,60.55,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chizhou City,Medium-small-cities,1,18.77061276,0.58157,76.01,69.77,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chifeng City,Largecities,1,44.10769218,0.58157,76.01,65.59,56,11.5464,5,3.8,0.44,0.56,0.2,0.6,0.2,1,1,0.02,0.500031579,0.20896842100000002,0.271,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chongzuo City,Medium-small-cities,1,26.76581285,0.58157,76.01,75.19,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chuzhou City,Medium-small-cities,1,52.66620567,0.58157,76.01,69.77,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chuxiong Yi Autonomous Prefecture,Medium-small-cities,1,33.83677118,0.58157,76.01,68.55,56,11.5464,5,3.8,0.59,0.41,0.25,0.65,0.1,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
