City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Tonghua City,Medium-small-cities,2,Jilin Province,22.56786,19.96086054,3066.361534,132,14431.97186,85,501.6666072,104,0.067348743,5332.062,159,25095.59551,102,872.3424891,125,0.181439523,9880.498275,415,46503.02044,267,1616.48129,326,1.498760824,5110.602556,159,24053.28643,102,836.1110119,125,0.091976268,5962.369649,658,28062.1675,423,975.4628473,517,0.767474104,12776.50639,850,60133.21608,546,2090.27753,668,0.000412574,0.001462202,0.000118748,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Tongliao City,Largecities,2,Inner Mongolia Autonomous Region,120.4542,105.6078808,3022.894631,132,14270.18342,85,706.921944,104,0.254016491,5256.477886,159,24814.2634,102,1229.258714,125,0.638190191,9740.438256,415,45981.70215,267,2277.859597,326,9.32093569,5038.157719,159,23783.63904,102,1178.20324,125,0.308598546,5877.850672,658,27747.57888,423,1374.570447,517,4.32457827,12595.3943,850,59459.0976,546,2945.5081,668,0.004146759,0.00180444,0.004828987,0.6,0.73,0.26,0.01,0.531673684,0.421326316,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Tongchuan City,Medium-small-cities,2,Shaanxi Province,8.88813,7.970243306,3202.027516,132,13781.31789,85,1016.654598,104,0.022771745,5567.97007,159,23964.18055,102,1767.849385,125,0.056532182,10317.64422,415,44406.46874,267,3275.887038,326,0.58412175,5336.712527,159,22968.86314,102,1694.42433,125,0.021844988,6226.164615,658,26797.007,423,1976.828385,517,0.232616028,13341.78132,850,57422.15786,546,4236.060825,668,0.000764855,0.002810985,0,0.6,0.73,0.26,0.01,0.54,0.42,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Tongling City,Medium-small-cities,2,Anhui Province,17.79714,15.24256148,3753.720078,132,13691.17964,85,555.1002804,104,0.048660515,6527.302135,159,23807.44016,102,965.2577097,125,0.111899483,12095.32025,415,44116.02329,267,1788.656459,326,1.516159196,6256.200129,159,22818.63274,102,925.1671339,125,0.062450944,7298.900151,658,26621.73819,423,1079.361656,517,0.815408383,15640.50032,850,57046.58184,546,2312.917835,668,0.005771848,0.001302693,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Tongren City,Medium-small-cities,2,Guizhou Province,31.46301,27.24129018,2557.963056,132,14943.14901,85,498.8879294,104,0.112270303,4448.013536,159,25984.47579,102,867.5106772,125,0.184741081,8242.325402,415,48150.14683,267,1607.527773,326,3.200594681,4263.27176,159,24905.24836,102,831.4798823,125,0.174048671,4973.817053,658,29056.12308,423,970.0598627,517,0.550065084,10658.1794,850,62263.1209,546,2078.699706,668,0.002194312,0.005786573,0.001853033,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Turpan City,Medium-small-cities,2,Xinjiang Uygur Autonomous Region,9.009,7.462797212,2511.189766,132,15233.95906,85,254.8511704,104,0.046229902,4366.679982,159,26490.16215,102,443.1578686,125,0.062681083,8091.611469,415,49087.20143,267,821.1871047,326,1.014767163,4185.316277,159,25389.93177,102,424.7519507,125,0.059973926,4882.86899,658,29621.58707,423,495.5439425,517,0.362550714,10463.29069,850,63474.82943,546,1061.879877,668,0.003628437,0.004994146,0.000164111,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Weihai City,Largecities,2,Shandong Province,72.87498,64.08724294,4453.251666,132,12842.99095,85,703.7573796,104,0.125722736,7743.709842,159,22332.53427,102,1223.755888,125,0.415104494,14349.36648,415,41382.97085,267,2267.662667,326,5.340551325,7422.086111,159,21404.98492,102,1172.928966,125,0.250504902,8659.100462,658,24972.48241,423,1368.417127,517,2.655853603,18555.21528,850,53512.46231,546,2932.322415,668,0.001218112,0.007242117,0.006833319,0.6,0.82,0.17,0.01,0.782463158,0.170536842,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Weifang City,Largecities,2,Shandong Province,221.42349,194.7228115,3336.153397,132,14126.10438,85,537.7422264,104,0.38199622,5801.200073,159,24563.72594,102,935.0739826,125,1.261254354,10749.82761,415,45517.44744,267,1732.724952,326,16.22674219,5560.255661,159,23543.50729,102,896.237044,125,0.761134614,6486.964938,658,27467.42518,423,1045.609885,517,8.069551081,13900.63915,850,58858.76824,546,2240.59261,668,0.000386445,0.004717516,0.000124707,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Weinan City,Medium-small-cities,2,Shaanxi Province,53.77104,48.21804717,2273.408051,132,15367.44233,85,359.1496205,104,0.137763561,3953.204001,159,26722.27471,102,624.5212846,125,0.342006049,7325.425944,415,49517.31417,267,1157.259888,326,3.533795521,3789.013419,159,25612.40388,102,598.5827009,125,0.132156904,4420.515656,658,29881.13786,423,698.3464844,517,1.407270791,9472.533548,850,64031.0097,546,1496.456752,668,0.004967576,0.001716026,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Wenzhou City,Largecities,2,Zhejiang Province,211.45734,191.2563942,3026.124377,132,14354.7164,85,619.1592187,104,0.408667509,5262.094056,159,24961.25686,102,1076.649086,125,0.957814474,9750.845216,415,46254.08619,267,1995.068594,326,15.03513307,5043.540629,159,23924.52734,102,1031.932031,125,0.499340613,5884.130734,658,27911.94856,423,1203.920703,517,3.299990135,12608.85157,850,59811.31835,546,2579.830078,668,0.001050393,0.00034785,0.003692697,0.6,0.704,0.286,0.01,0.489541053,0.463458947,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Wuhai City,Medium-small-cities,2,Inner Mongolia Autonomous Region,19.485,17.08341891,4893.926174,132,9947.399329,85,3158.674497,104,0.041090401,8509.993848,159,17297.42217,102,5492.583986,125,0.103235386,15769.31767,415,32052.73117,267,10177.95116,326,1.507779985,8156.543624,159,16578.99888,102,5264.457494,125,0.049919743,9515.967562,658,19342.16536,423,6141.867077,517,0.699555579,20391.35906,850,41447.4972,546,13161.14374,668,0.002898783,0.000980799,3.88E-04,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ulanqab City,Medium-small-cities,2,Inner Mongolia Autonomous Region,13.90509,12.19124852,2982.654877,132,14578.28445,85,439.0606721,104,0.029323362,5186.505425,159,25350.01685,102,763.4777242,125,0.073671919,9610.776826,415,46974.47212,267,1414.751054,326,1.075997762,4971.091462,159,24297.14075,102,731.7677868,125,0.03562425,5799.606705,658,28346.66421,423,853.7290845,517,0.499224187,12427.72865,850,60742.85188,546,1829.419467,668,0.001871796,0.001414464,0.000251138,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
¨¹r¨¹mqi City,Largecities,2,Xinjiang Uygur Autonomous Region,111.222,92.13311484,8627.79661,132,7682.033898,85,1690.169492,104,0.570738385,15002.77966,159,13358.20339,102,2939.016949,125,0.773838981,27800.67797,415,24753.22034,267,5446.101695,326,12.52796463,14379.66102,159,12803.38983,102,2816.949153,125,0.740417364,16776.27119,658,14937.28814,423,3286.440678,517,4.475925801,35949.15254,850,32008.47458,546,7042.372881,668,0.004417537,0.002364407,0.028623495,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Wuxi City,Extra-large-cities,2,Jiangsu Province,188.739,174.7127692,6111.603303,132,10760.66071,85,1127.735988,104,0.391572632,10627.39908,159,18711.59334,102,1961.007579,125,1.142004233,19692.94398,415,34673.24006,267,3633.81596,326,6.404938674,10186.00551,159,17934.43451,102,1879.55998,125,1.108299247,11883.67309,658,20923.50693,423,2192.819976,517,4.979416028,25465.01376,850,44836.08629,546,4698.899949,668,0.000408586,0.000762085,0.001643703,0.6,0.73684375,0.23215625,0.031,0.542647727,0.358352273,0.099,1,1,0.02,0.02,0.93,0.03,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Wuhu City,Largecities,2,Anhui Province,55.35468,47.40914063,3554.497161,132,13990.47445,85,455.0283935,104,0.151349443,6180.875618,159,24327.88056,102,791.2438175,125,0.348042443,11453.37974,415,45080.41766,267,1466.202601,326,4.715730006,5924.161934,159,23317.45741,102,758.3806558,125,0.194241997,6911.522257,658,27203.70031,423,884.7774318,517,2.53617548,14810.40484,850,58293.64352,546,1895.951639,668,0.000239673,0.000847134,0,0.6,0.73,0.26,0.01,0.531673684,0.421326316,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Wuzhong City,Medium-small-cities,2,Ningxia Hui Autonomous Region,28.98,22.56383207,5444.501678,132,11717.63403,85,837.8642889,104,0.068414471,9467.383473,159,20375.66362,102,1456.952902,125,0.183054935,17543.39429,415,37756.82077,267,2699.784931,326,4.557882983,9074.169463,159,19529.39006,102,1396.440481,125,0.151621259,10586.53104,658,22784.2884,423,1629.180562,517,1.455194283,22685.42366,850,48823.47514,546,3491.101204,668,0.006511785,0.001169508,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Wuzhou City,Medium-small-cities,2,Guangxi Zhuang Autonomous Region,24.66585,21.40083031,3273.725685,132,14042.73649,85,683.5378293,104,0.060688098,5692.645219,159,24418.75844,102,1188.596336,125,0.144180209,10548.67165,415,45248.81756,267,2202.510783,326,2.107532142,5456.209475,159,23404.56081,102,1139.229715,125,0.182432102,6365.577721,658,27305.32094,423,1329.101335,517,0.770187139,13640.52369,850,58511.40202,546,2848.074289,668,0.008144584,0.002391279,0.00627572,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Wuhan City,Extra-large-cities,2,Hubei Province,300.9951,264.9775402,6342.295014,132,10654.25671,85,1003.448275,104,0.974207993,11028.54633,159,18526.56861,102,1744.885056,125,2.166469762,20436.28393,415,34330.38274,267,3233.33333,326,22.42788583,10570.49169,159,17757.09452,102,1672.413791,125,2.043374889,12332.24031,658,20716.61027,423,1951.149423,517,8.405621315,26426.22923,850,44392.7363,546,4181.034478,668,0.00143064,0.000612178,0.004472645,0.6,0.73684375,0.23215625,0.031,0.542647727,0.358352273,0.099,1,1,0.02,0.02,0.93,0.03,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Wuwei City,Medium-small-cities,2,Gansu Province,19.764,16.13219842,3159.468012,132,14207.0805,85,633.4514921,104,0.062577309,5493.963821,159,24704.53442,102,1101.501761,125,0.138481266,10180.50804,415,45778.37049,267,2041.121475,326,2.656059103,5265.78002,159,23678.46749,102,1055.752487,125,0.150069657,6143.410024,658,27624.87874,423,1231.711235,517,0.624614248,13164.45005,850,59196.16873,546,2639.381217,668,0.004562706,0.002579887,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xi'an City,Extra-large-cities,2,Shaanxi Province,307.13544,275.4172345,3816.225908,132,13415.95697,85,767.8171224,104,0.786893313,6635.992828,159,23328.85851,102,1335.148663,125,1.953508399,12296.72792,415,43229.19468,267,2474.077394,326,20.18472847,6360.376513,159,22359.92828,102,1279.695204,125,0.754868585,7420.439265,658,26086.583,423,1492.977738,517,8.038206692,15900.94128,850,55899.82071,546,3199.23801,668,0.002339302,0.00090953,0.036131141,0.6,0.7065625,0.2624375,0.031,0.4505,0.4505,0.099,1,1,0.02,0.02,0.93,0.03,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xining City,Medium-small-cities,2,Qinghai Province,44.14986,36.50431473,3162.472111,132,14311.06507,85,526.4628203,104,0.215891736,5499.187615,159,24885.35204,102,915.4603486,125,0.346171232,10190.18791,415,46113.43189,267,1696.380199,326,5.520128352,5270.786852,159,23851.77511,102,877.4380338,125,0.275448077,6149.251327,658,27827.07097,423,1023.677706,517,1.287905873,13176.96713,850,59629.43779,546,2193.595084,668,0.015033442,0.001749176,0.009384253,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xishuangbanna Dai Autonomous Prefecture,Medium-small-cities,2,Yunnan Province,18.666,15.86847442,1876.57563,132,15539.65336,85,583.7710084,104,0.052287837,3263.156513,159,27021.73057,102,1015.11292,125,0.079821046,6046.743697,415,50072.21639,267,1881.039916,326,2.132939591,3127.62605,159,25899.42227,102,972.9516807,125,0.125793927,3648.897059,658,30215.99265,423,1135.110294,517,0.406683176,7819.065126,850,64748.55567,546,2432.379202,668,0.00224449,0.001558474,0.028486234,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xianning City,Medium-small-cities,2,Hubei Province,23.787,20.94060916,2812.923363,132,14717.59064,85,469.4859948,104,0.076989577,4891.361181,159,25592.25484,102,816.3839799,125,0.171211479,9063.86417,415,47423.34762,267,1512.788206,326,1.772427924,4688.205605,159,24529.31774,102,782.476658,125,0.161483554,5469.573206,658,28617.53736,423,912.8894344,517,0.664278303,11720.51401,850,61323.29434,546,1956.191645,668,0.000417546,0.001735585,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xianyang City,Medium-small-cities,2,Shaanxi Province,40.76919,36.55891213,3177.837774,132,14260.12443,85,562.0377979,104,0.1044523,5525.906797,159,24796.77192,102,977.3212818,125,0.259308907,10239.6995,415,45949.28982,267,1811.010682,326,2.67932294,5296.396291,159,23766.87405,102,936.7296631,125,0.100201334,6179.129006,658,27728.01972,423,1092.851274,517,1.066992386,13240.99073,850,59417.18512,546,2341.824158,668,0.003404227,0.001990576,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xiangtan City,Medium-small-cities,2,Hunan Province,34.64775,30.96519508,1814.954683,132,15539.27492,85,645.7703927,104,0.168260866,3156.004532,159,27021.07251,102,1122.922961,125,0.246196422,5848.187311,415,50070.99698,267,2080.81571,326,2.363645517,3024.924471,159,25898.79154,102,1076.283988,125,0.197037071,3529.07855,658,30215.2568,423,1255.664653,517,0.707415043,7562.311178,850,64746.97885,546,2690.70997,668,0.000718666,0.002356834,0,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xiangyang City,Largecities,2,Hubei Province,71.74476,63.15966615,2596.206347,132,14997.77337,85,406.0202784,104,0.232210819,4514.51437,159,26079.46148,102,706.0241508,125,0.516396623,8365.553784,415,48326.15865,267,1308.287564,326,5.345878674,4327.010578,159,24996.28896,102,676.700464,125,0.487055905,5048.179008,658,29162.33712,423,789.4838747,517,2.003551832,10817.52645,850,62490.72239,546,1691.75116,668,0.000873738,0.001290648,0.005356903,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xiaogan City,Medium-small-cities,2,Hubei Province,28.28664,24.90181497,2619.584771,132,14973.46336,85,406.9518663,104,0.091553221,4555.166851,159,26037.18907,102,707.6440786,125,0.203598498,8440.884261,415,48247.82639,267,1311.289347,326,2.107707176,4365.974618,159,24955.77227,102,678.2531104,125,0.192030401,5093.637054,658,29115.06765,423,791.2952955,517,0.78993573,10914.93654,850,62389.43068,546,1695.632776,668,0.002900232,0.004382794,0,0.6,0.76,0.23,0.01,0.61,0.35,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xinzhou City,Medium-small-cities,2,Shanxi Province,36.25056,32.08935799,3799.965748,132,13284.46652,85,915.5677342,104,0.062497433,6607.718217,159,23100.21122,102,1592.07056,125,0.184930928,12244.33408,415,42805.50323,267,2950.162699,326,2.268861713,6333.276246,159,22140.77753,102,1525.946224,125,0.065058803,7388.822287,658,25830.90712,423,1780.270594,517,1.579853132,15833.19061,850,55351.94383,546,3814.865559,668,0.000944014,0.001587926,0.00036989,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Xinxiang City,Medium-small-cities,2,Henan Province,94.52385,83.42944336,4945.34712,132,12697.04579,85,357.6070901,104,0.214916592,8599.409158,159,22078.75185,102,621.8389956,125,0.466339564,15935.00739,415,40912.7031,267,1152.289513,326,6.77899924,8242.245199,159,21161.74298,102,596.0118168,125,0.233169782,9615.952733,658,24688.70015,423,695.3471196,517,3.400981465,20605.613,850,52904.35746,546,1490.029542,668,0.001050841,0.000578501,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
