City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,14.68216216,12.16228203,4.309001293,118.8,26.59790423,76.5,0.5238734420000001,93.6,0.07534187,7.492874471,143.1,46.25080013,91.8,0.910957707,112.5,0.10215271599999999,13.88455972,373.5,85.70435806,240.3,1.688036646,293.4,1.653787994,2.650482142,143.1,16.36046624,91.8,0.322236432,112.5,0.097740805,3.092229166,592.2,19.08721061,380.7,0.375942504,465.3,0.590856741,6.626205356,765,40.9011656,491.4,0.80559108,601.2,0.000227446,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,23.11936525,20.73180367,0.347064096,118.8,4.26729746,76.5,0.121040874,93.6,0.059232741,0.6035059,143.1,7.420356139,91.8,0.21047663100000003,112.5,0.14704872300000002,1.118317643,373.5,13.75018071,240.3,0.390020594,293.4,1.519388678,1.099428452,143.1,13.51793025,91.8,0.38343286600000004,112.5,0.056822106,1.282666528,592.2,15.77091862,380.7,0.44733834299999997,465.3,0.605069335,2.74857113,765,33.79482562,491.4,0.9585821640000001,601.2,0.00188041,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,66.90216517,57.29911468,0.429957218,118.8,3.142397153,76.5,0.081348577,93.6,0.182922301,0.74764783,143.1,5.4642794939999995,91.8,0.141456136,112.5,0.420647234,1.385417704,373.5,10.12550194,240.3,0.26212319100000003,293.4,5.699473789,0.682167264,143.1,4.985706433,91.8,0.12906711099999998,112.5,0.23476262899999997,0.795861808,592.2,5.816657505,380.7,0.150578296,465.3,3.0652445439999996,1.7054181609999999,765,12.46426608,491.4,0.322667777,601.2,4.54314e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,36.18468971,31.32941294,3.7641549239999996,118.8,16.97007588,76.5,0.881793825,93.6,0.1291188,6.5454471729999995,143.1,29.50907639,91.8,1.5333414840000001,112.5,0.21246532699999998,12.12894364,373.5,54.681355599999996,240.3,2.8413356569999997,293.4,3.68091055,3.792780146,143.1,17.099128,91.8,0.888499591,112.5,0.200168298,4.4249101710000005,592.2,19.94898267,380.7,1.0365828559999999,465.3,0.6326138029999999,9.481950366,765,42.74782001,491.4,2.221248978,601.2,0.000140273,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,101.6547901,89.72341426,1.078444302,118.8,3.3477940210000003,76.5,0.12631763599999998,93.6,0.231130038,1.875294814,143.1,5.821441826,91.8,0.21965233399999998,112.5,0.501520521,3.474987195,373.5,10.78733629,240.3,0.407023494,293.4,7.290411306,0.699885665,143.1,2.172641685,91.8,0.081977254,112.5,0.25076026,0.8165332759999999,592.2,2.534748632,380.7,0.09564013,465.3,3.6575536960000004,1.7497141630000002,765,5.431604212000001,491.4,0.20494313600000003,601.2,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,71.10927374,61.92325759,0.388327276,118.8,1.437930893,76.5,0.086909025,93.6,0.333554195,0.675257986,143.1,2.5004020540000003,91.8,0.151125137,112.5,0.622302602,1.2512767790000001,373.5,4.633332879,240.3,0.28004019,293.4,5.1510060719999995,1.35918565,143.1,5.03290692,91.8,0.30419057899999996,112.5,0.36840314,1.5857165919999998,592.2,5.87172474,380.7,0.354889009,465.3,2.710750135,3.397964125,765,12.582267300000002,491.4,0.7604764479999999,601.2,3.91375e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,43.20595332,37.88069797,4.496573048999999,118.8,16.29322499,76.5,0.439836044,93.6,0.091113673,7.819040912999999,143.1,28.332107899999997,91.8,0.76482601,112.5,0.228913692,14.4889576,373.5,52.50039164,240.3,1.4172494759999998,293.4,3.34334471,1.197532254,143.1,4.3392295039999995,91.8,0.117137616,112.5,0.11069181800000001,1.3971209619999998,592.2,5.062434421,380.7,0.13666055300000002,465.3,1.551191464,2.9938306339999996,765,10.84807376,491.4,0.292844041,601.2,1.15589e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,51.77162303,46.38046452,1.981504764,118.8,25.64933658,76.5,0.675317132,93.6,0.095099776,3.4456166169999998,143.1,44.60134639,91.8,1.174301458,112.5,0.334803319,6.384848684,373.5,82.64786232,240.3,2.176021871,293.4,3.4600685469999997,1.908372999,143.1,24.70269175,91.8,0.650393077,112.5,0.271403469,2.226435166,592.2,28.81980704,380.7,0.7587919240000001,465.3,1.229783399,4.7709324980000005,765,61.75672937,491.4,1.625982694,601.2,0.00012203700000000001,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,32.83208003,29.03937594,0.391640548,118.8,1.197268576,76.5,0.05442358,93.6,0.09798001699999999,0.681019397,143.1,2.081917024,91.8,0.09463655800000001,112.5,0.26396109100000004,1.2619528759999998,373.5,3.8578654119999998,240.3,0.175364868,293.4,2.1804209759999997,1.541937055,143.1,4.7137937910000005,91.8,0.21427233399999998,112.5,0.133808531,1.798926564,592.2,5.499426089,380.7,0.24998438899999997,465.3,1.116533478,3.854842638,765,11.78448448,491.4,0.535680834,601.2,4.3065e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,16.64295085,14.72038646,0.906740945,118.8,4.025336385,76.5,0.216291047,93.6,0.049667172999999995,1.576721755,143.1,6.999612712999999,91.8,0.37610609799999994,112.5,0.133804847,2.9217208230000002,373.5,12.97052835,240.3,0.696937817,293.4,1.10527993,2.559968519,143.1,11.36458487,91.8,0.610646595,112.5,0.06782905,2.9866299389999997,592.2,13.25868234,380.7,0.712421027,465.3,0.565983385,6.399921297000001,765,28.41146216,491.4,1.5266164869999999,601.2,9.95094e-06,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.78,0.1,0.1,1,0.79,0.21,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
