City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,21.15968174,17.52807347,4.323496101,92.4,26.30047779,59.5,0.806805076,72.8,0.108581419,7.51807933,111.3,45.73360859,71.4,1.4029443819999998,87.5,0.147220753,13.93126521,290.5,84.74598398,186.9,2.599705244,228.2,2.383411057,2.65939795,111.3,16.17751817,71.4,0.496268694,87.5,0.140862381,3.102630942,460.6,18.8737712,296.1,0.578980143,361.9,0.8515326590000001,6.648494876,595,40.44379542,382.2,1.240671736,467.6,0.00023774200000000002,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,30.49718969,27.34771228,0.34685302700000004,92.4,4.202875168,59.5,0.185674235,72.8,0.078135023,0.603138874,111.3,7.308332932000001,71.4,0.322866865,87.5,0.19397473699999998,1.117637531,290.5,13.54259776,186.9,0.598283648,228.2,2.004254192,1.098759828,111.3,13.31385353,71.4,0.588178206,87.5,0.074955109,1.281886466,460.6,15.53282912,296.1,0.686207907,361.9,0.7981583440000001,2.7468995689999995,595,33.28463383,382.2,1.470445515,467.6,0.0019655329999999998,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,88.75357829999999,76.01400415,0.43019767,92.4,3.098572453,59.5,0.124932825,72.8,0.24266791199999999,0.748065949,111.3,5.38807321,71.4,0.21724430100000003,87.5,0.5580379520000001,1.386192494,290.5,9.984289015,186.9,0.402561325,228.2,7.56102126,0.6825487640000001,111.3,4.916174455,71.4,0.19821758899999997,87.5,0.311440195,0.796306891,460.6,5.735536864,296.1,0.23125385399999998,361.9,4.0664068339999995,1.70637191,595,12.29043614,382.2,0.49554397299999997,467.6,4.7488000000000003e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,51.05714218,44.20627352,3.7252649260000004,92.4,16.55126648,59.5,1.3394932179999999,72.8,0.18218857100000002,6.477821787999999,111.3,28.78081338,71.4,2.329229874,87.5,0.299791776,12.00363143,290.5,53.33185866,186.9,4.316144813999999,228.2,5.193820226000001,3.753594402,111.3,16.67713369,71.4,1.349679646,87.5,0.282440484,4.379193469,460.6,19.45665597,296.1,1.5746262530000001,361.9,0.8926276040000001,9.383986005,595,41.69283423,382.2,3.3741991139999996,467.6,0.000146623,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,137.5815164,121.4333666,1.073954005,92.4,3.285522641,59.5,0.193079313,72.8,0.31281576699999997,1.867486687,111.3,5.713158815,71.4,0.335743471,87.5,0.678767363,3.460518462,290.5,10.58668407,186.9,0.622144452,228.2,9.866980612999999,0.696971565,111.3,2.132228985,71.4,0.125304054,87.5,0.339383681,0.8131334929999999,460.6,2.487600482,296.1,0.146188063,361.9,4.950202381,1.742428914,595,5.330572462,382.2,0.313260135,467.6,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,90.29394523,78.6296208,0.38319129700000004,92.4,1.398342404,59.5,0.13163349400000002,72.8,0.423544252,0.666327088,111.3,2.431562069,71.4,0.22889601899999998,87.5,0.790194501,1.234727512,290.5,4.505769968,186.9,0.42415236799999995,228.2,6.540703282000001,1.341209191,111.3,4.89434311,71.4,0.460730849,87.5,0.467795145,1.5647440559999999,460.6,5.710066962000001,296.1,0.537519324,361.9,3.4420872460000003,3.353022976,595,12.23585778,382.2,1.151827122,467.6,4.09092e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,57.5450325,50.45244527,4.496771179,92.4,16.05772305,59.5,0.675139853,72.8,0.121352242,7.819385437999999,111.3,27.9225962,71.4,1.173993188,87.5,0.304884971,14.48959602,290.5,51.74155206,186.9,2.175450637,228.2,4.452925238,1.19758502,111.3,4.27651037,71.4,0.17980398399999997,87.5,0.14742793,1.3971825230000001,460.6,4.989262098999999,296.1,0.209771315,361.9,2.0659968440000003,2.993962549,595,10.69127593,382.2,0.44950996,467.6,1.20821e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,66.87622713,59.91217385,1.982247965,92.4,25.28696862,59.5,1.036941891,72.8,0.122845563,3.4469089619999997,111.3,43.97122877,71.4,1.803126733,87.5,0.432483695,6.387243444,290.5,81.48023223,186.9,3.3412572060000003,228.2,4.469559123,1.909088771,111.3,24.35369777,71.4,0.998671284,87.5,0.35058665299999997,2.227270233,460.6,28.412647399999997,296.1,1.165116498,361.9,1.5885782419999999,4.772721928,595,60.88424443,382.2,2.496678211,467.6,0.000127561,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,41.74327134,36.92116211,0.388859076,92.4,1.171531439,59.5,0.082942188,72.8,0.124573479,0.676182727,111.3,2.0371630030000003,71.4,0.144227249,87.5,0.335604671,1.252990357,290.5,3.774934638,186.9,0.267258161,228.2,2.7722247369999997,1.530986059,111.3,4.612463515,71.4,0.326553605,87.5,0.170126468,1.7861504019999999,460.6,5.381207433999999,296.1,0.380979206,361.9,1.41957987,3.827465148,595,11.53115879,382.2,0.816384013,467.6,4.5014399999999994e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,21.160134,18.71575257,0.896753348,92.4,3.923283858,59.5,0.32833117,72.8,0.063147698,1.5593544330000002,111.3,6.822154708999999,71.4,0.570931423,87.5,0.170121785,2.889538566,290.5,12.64169243,186.9,1.0579559920000001,228.2,1.405271916,2.531770902,111.3,11.076463699999998,71.4,0.9269653729999999,87.5,0.086239021,2.9537327189999996,460.6,12.92254099,296.1,1.081459602,361.9,0.719601012,6.329427255,595,27.69115926,382.2,2.317413433,467.6,1.0401400000000002e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.58,0.2,0.2,1,0.84,0.16,0.94,0.06,0.98,0.02,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
