City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,17.02419777,14.10235716,4.316826679,105.6,26.49100989,68,0.622942393,83.2,0.087360083,7.506481947999999,127.2,46.06492275,81.6,1.083227606,100,0.11844768,13.90977486,332,85.35992075,213.6,2.007258822,260.8,1.91759317,2.655295566,127.2,16.29471515,81.6,0.383174099,100,0.113331999,3.097844827,526.4,19.01050101,338.4,0.447036449,413.6,0.6851076770000001,6.6382389139999995,680,40.73678787,436.8,0.957935248,534.4,0.000227549,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,25.92370662,23.246537699999998,0.34722727600000003,105.6,4.244437779,68,0.143737376,83.2,0.06641757599999999,0.603789652,127.2,7.380605693,81.6,0.249943327,100,0.164885494,1.1188434440000001,332,13.67652173,213.6,0.46315376799999997,260.8,1.7036880509999999,1.099945372,127.2,13.44551543,81.6,0.455330767,100,0.063714535,1.283269601,526.4,15.68643466,338.4,0.531219229,413.6,0.678463261,2.74986343,680,33.61378856,436.8,1.138326918,534.4,0.001881261,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,75.03412313,64.26382188,0.43032163799999995,105.6,3.126742536,68,0.096638775,83.2,0.20515650600000002,0.748281515,127.2,5.437057854,81.6,0.168044091,100,0.471776904,1.386591945,332,10.07505928,213.6,0.311391607,260.8,6.39224481,0.68274545,127.2,4.960868921,81.6,0.15332643699999998,100,0.263298026,0.796536358,526.4,5.787680407000001,338.4,0.17888084399999998,413.6,3.4378250089999995,1.706863625,680,12.402172300000002,436.8,0.38331609299999997,534.4,4.54519e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,41.68894766,36.09510725,3.7526944560000004,105.6,16.81986901,68,1.043461154,83.2,0.148759791,6.525518694,127.2,29.24788334,81.6,1.8144630069999999,100,0.24478463,12.09201547,332,54.19735571,213.6,3.36226372,260.8,4.240834686,3.781232525,127.2,16.94777886,81.6,1.051396351,100,0.23061703100000003,4.411437946,526.4,19.77240867,338.4,1.226629076,413.6,0.7288442690000001,9.453081314,680,42.36944716,436.8,2.628490876,534.4,0.000140336,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,114.94259939999999,101.45161340000001,1.077470002,105.6,3.3252883160000004,68,0.149797641,83.2,0.261342209,1.873600615,127.2,5.782306905,81.6,0.260481454,100,0.567076792,3.471847785,332,10.71481791,213.6,0.482681288,260.8,8.243377665,0.6992533670000001,127.2,2.158035997,81.6,0.09721524,100,0.283538396,0.815795595,526.4,2.517708664,338.4,0.11341778,413.6,4.135650951000001,1.748133418,680,5.395089992999999,436.8,0.24303809999999998,534.4,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,78.54666076,68.39987039,0.386735825,105.6,1.4236972030000001,68,0.102734166,83.2,0.368440947,0.672490629,127.2,2.475651247,81.6,0.1786433,100,0.6873898270000001,1.24614877,332,4.587468765,213.6,0.331032313,260.8,5.689754728,1.353615407,127.2,4.98308753,81.6,0.359580212,100,0.406934778,1.579217974,526.4,5.813602119,338.4,0.419510248,413.6,2.994270087,3.384038517,680,12.45771883,436.8,0.8989505309999999,534.4,3.91552e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,48.61761365,42.62535593,4.499258081,105.6,16.20799956,68,0.522376445,83.2,0.102525903,7.8237098860000005,127.2,28.18391034,81.6,0.908354597,100,0.257585739,14.49760937,332,52.22577635,213.6,1.683212991,260.8,3.762107508,1.1982473340000002,127.2,4.316532173,81.6,0.139119866,100,0.12455626199999999,1.397955223,526.4,5.035954202,338.4,0.162306511,413.6,1.7454823119999998,2.995618336,680,10.79133043,436.8,0.347799666,534.4,1.1564100000000002e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,57.51704173,51.52759286,1.983125873,105.6,25.52080714,68,0.8022254659999999,83.2,0.105653589,3.448435545,127.2,44.37784797,81.6,1.39498095,100,0.371958524,6.390072256,332,82.2337119,213.6,2.584948724,260.8,3.8440538539999998,1.9099342769999998,127.2,24.57890597,81.6,0.7726175820000001,100,0.301522799,2.2282566569999998,526.4,28.67539029,338.4,0.9013871790000001,413.6,1.366260105,4.774835694,680,61.44726492,436.8,1.9315439540000001,534.4,0.000122092,0.6,0.7170000000000001,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,36.28228622,32.09102038,0.39087909299999996,105.6,1.187980976,68,0.064472634,83.2,0.108276388,0.679695312,127.2,2.06576692,81.6,0.112110747,100,0.29169982,1.259499301,332,3.8279387010000003,213.6,0.207745154,260.8,2.409553639,1.538939115,127.2,4.677227366,81.6,0.253836698,100,0.147869992,1.7954289680000002,526.4,5.456765261,338.4,0.296142814,413.6,1.233865998,3.847347788,680,11.69306842,436.8,0.634591745,534.4,4.30844e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,18.39189919,16.26729937,0.90375827,105.6,3.988727294,68,0.255882813,83.2,0.054886519,1.5715352130000002,127.2,6.935953572000001,81.6,0.44495178,100,0.14786592199999998,2.91210998,332,12.85256573,213.6,0.8245112859999999,260.8,1.2214298559999999,2.55154764,127.2,11.26122776,81.6,0.722424579,100,0.074956963,2.97680558,526.4,13.13809905,338.4,0.842828675,413.6,0.62546056,6.378869101,680,28.153069399999996,436.8,1.8060614469999998,534.4,9.95545e-06,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baiyin City,Medium-small-cities,1,Gansu Province,33.10227956,27.01945668,0.81125799,105.6,2.8513335210000004,68,0.172364871,83.2,0.10480932800000001,1.410687505,127.2,4.958152178,81.6,0.29972335899999997,100,0.231939162,2.614053524,332,9.187630233,213.6,0.5553979170000001,260.8,4.4485737169999995,2.0963002840000002,127.2,7.36787969,81.6,0.445392874,100,0.251348297,2.445683665,526.4,8.595859638,338.4,0.51962502,413.6,1.046152371,5.24075071,680,18.41969922,436.8,1.113482185,534.4,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baise City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,54.40653199,47.20473687,2.103986856,105.6,8.808934995,68,0.795427025,83.2,0.133862363,3.6585993660000002,127.2,15.31775919,81.6,1.383159216,100,0.318024523,6.779513203,332,28.38434609,213.6,2.5630426369999997,260.8,4.648674783,3.4664717310000004,127.2,14.513362599999999,81.6,1.310524013,100,0.402398376,4.0442170189999995,526.4,16.93225636,338.4,1.5289446819999999,413.6,1.698835078,8.666179327,680,36.28340649,436.8,3.276310032,534.4,4.2710600000000004e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bengbu City,Medium-small-cities,1,Anhui Province,57.71115378,49.4273692,0.117881551,105.6,0.39009868700000006,68,0.015034955,83.2,0.157792457,0.20498292,127.2,0.6783382720000001,81.6,0.026144116000000002,100,0.36285876799999994,0.379840554,332,1.256984658,213.6,0.04844596599999999,260.8,4.916480766,0.992432685,127.2,3.2842008189999996,81.6,0.126577742,100,0.202510967,1.157838132,526.4,3.8315676219999997,338.4,0.147674033,413.6,2.644141618,2.481081712,680,8.210502046,436.8,0.31644435600000004,534.4,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baotou City,Medium-small-cities,1,Inner Mongolia Autonomous Region,95.6541667,83.86452142,3.846933874,105.6,9.039615176,68,0.980810967,83.2,0.20171763,6.68939057,127.2,15.71888639,81.6,1.705521293,100,0.5067947070000001,12.39567582,332,29.1276489,213.6,3.160390894,260.8,7.401870057000001,1.239008484,127.2,2.91145111,81.6,0.315896542,100,0.245061914,1.445509898,526.4,3.396692962,338.4,0.368545966,413.6,3.4342009719999997,3.097521211,680,7.278627775,436.8,0.789741356,534.4,5.39624e-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoji City,Medium-small-cities,1,Shaanxi Province,51.42518724,46.11445314,1.787223691,105.6,9.024330797000001,68,0.300472952,83.2,0.131753392,3.107783418,127.2,15.69230855,81.6,0.522489078,100,0.327085455,5.758831892999999,332,29.07839923,213.6,0.9681906240000001,260.8,3.3796277010000004,1.791541847,127.2,9.046134711,81.6,0.301198933,100,0.126391335,2.090132155,526.4,10.55382383,338.4,0.351398755,413.6,1.3458762169999998,4.478854618,680,22.61533678,436.8,0.752997331,534.4,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoding City,Largecities,1,Hebei Province,315.783537,273.45286560000005,0.84173717,105.6,2.482191115,68,0.133223709,83.2,0.423402942,1.4636874119999999,127.2,4.31625455,81.6,0.231661227,100,1.299077209,2.712264215,332,7.998171371000001,213.6,0.429276395,260.8,25.89686359,1.461101414,127.2,4.308628722,81.6,0.231251935,100,0.850655002,1.704618316,526.4,5.026733509,338.4,0.26979392399999996,413.6,13.86067268,3.652753534,680,10.77157181,436.8,0.578129837,534.4,0,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.5352947370000001,0.22370526300000002,0.221,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoshan City,Medium-small-cities,1,Yunnan Province,38.88808335,33.05981763,0.7086544909999999,105.6,7.023636387000001,68,0.28279769899999996,83.2,0.108934628,1.23227142,127.2,12.21332327,81.6,0.49175377600000003,100,0.16629634,2.283442248,332,22.63171725,213.6,0.911237029,260.8,4.443690806,1.237710537,127.2,12.267231599999999,81.6,0.493924325,100,0.262074612,1.443995626,526.4,14.3117702,338.4,0.576245046,413.6,0.847269327,3.094276341,680,30.66807899,436.8,1.234810813,534.4,0.000252247,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Beihai City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,41.83288112,36.29546073,1.464231407,105.6,7.976357613999999,68,0.871181295,83.2,0.102926029,2.546135725,127.2,13.86999963,81.6,1.514887474,100,0.24452729399999998,4.7180789789999995,332,25.70159676,213.6,2.807139728,260.8,3.5743402939999998,0.777078831,127.2,4.233114123,81.6,0.462342591,100,0.309401882,0.90659197,526.4,4.938633144,338.4,0.539399689,413.6,1.306224882,1.9426970780000001,680,10.58278531,436.8,1.155856477,534.4,0.000114932,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Beijing,Megacities,1,Beijing Municipality,962.250131,860.8782944,0.63515797,105.6,0.694572215,68,0.088416198,83.2,12.61589389,1.104469137,127.2,1.207783906,81.6,0.153745945,100,10.39246611,2.046620125,332,2.238066025,213.6,0.284896639,260.8,64.89115133,6.209173938999999,127.2,6.7899953989999995,81.6,0.864338607,100,3.079859213,7.244036262000001,526.4,7.921661299,338.4,1.008395042,413.6,10.39246611,15.52293485,680,16.974988500000002,436.8,2.160846518,534.4,0.064322734,0.6,0.463238806,0.293761194,0.243,0.15121052599999998,0.511789474,0.337,1,1,0.02,0.199081967,0.559918033,0.221,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Benxi City,Medium-small-cities,1,Liaoning Province,19.08024334,16.61542526,0.477375337,105.6,0.568183213,68,0,83.2,0.08950021400000001,0.8301026690000001,127.2,0.988007477,81.6,0,100,0.166978011,1.538209418,332,1.8308125769999999,213.6,0,260.8,1.382132655,4.343230343,127.2,5.1694136330000005,81.6,0,100,0.09885098199999999,5.0671020669999995,526.4,6.030982572,338.4,0,413.6,0.727356215,10.85807586,680,12.92353408,436.8,0,534.4,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bijie City,Medium-small-cities,1,Guizhou Province,80.72936193,69.89706243,2.590963901,105.6,28.34701582,68,1.417312603,83.2,0.28806875,4.505398338,127.2,49.29231085,81.6,2.464549138,100,0.47401789,8.348661457,332,91.34038432,213.6,4.566896166,260.8,8.21224563,1.971940445,127.2,21.57445226,81.6,1.078693549,100,0.446582771,2.300597186,526.4,25.17019431,338.4,1.258475807,413.6,1.4113844569999998,4.929851112,680,53.93613066,436.8,2.6967338730000003,534.4,0.00014982100000000001,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Binzhou City,Medium-small-cities,1,Shandong Province,125.37023870000002,110.25228329999999,0.06415174400000001,105.6,0.316492854,68,0.021620691,83.2,0.21628670600000002,0.111552754,127.2,0.5503459070000001,81.6,0.037595979,100,0.7141236879999999,0.206711174,332,1.019810307,213.6,0.069666671,260.8,9.187600383,2.072481357,127.2,10.22459412,81.6,0.698476402,100,0.430955307,2.417894917,526.4,11.92869314,338.4,0.814889135,413.6,4.568989248,5.1812033930000005,680,25.56148529,436.8,1.7461910040000002,534.4,0,0.6,0.73,0.26,0.01,0.54,0.42,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Bozhou City,Medium-small-cities,1,Anhui Province,82.63554824,70.77414823,0.51183357,105.6,3.05778199,68,0.105916519,83.2,0.225940141,0.8900217090000001,127.2,5.317143127,81.6,0.184177058,100,0.519570849,1.649241505,332,9.852853077999999,213.6,0.341286561,260.8,7.039819115,0.569096839,127.2,3.399882631,81.6,0.11776632,100,0.289971759,0.663946313,526.4,3.966529736,338.4,0.13739404,413.6,3.786098144,1.4227420990000001,680,8.499706578,436.8,0.2944158,534.4,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Cangzhou City,Largecities,1,Hebei Province,112.9054846,97.77054438,0.487148501,105.6,1.454746619,68,0.07896001,83.2,0.151383808,0.847097115,127.2,2.529642733,81.6,0.137302684,100,0.46447304799999994,1.569700725,332,4.687516885,213.6,0.254426699,260.8,9.259184192000001,1.904013289,127.2,5.685857372,81.6,0.308614126,100,0.30414383300000003,2.221348837,526.4,6.6335002670000005,338.4,0.360049813,413.6,4.9557553919999995,4.760033222,680,14.21464343,436.8,0.7715353140000001,534.4,0,0.6,0.73,0.26,0.01,0.531673684,0.42132631600000003,0.047,1,1,0.02,0.5352947370000001,0.22370526300000002,0.221,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Chamdo City,Medium-small-cities,1,Tibet Autonomous Region,18.75074821,12.25215948,4.920140748,105.6,43.976861,68,0.9808367259999999,83.2,0.09820691699999999,8.555578078,127.2,76.47087497,81.6,1.705566084,100,0.145617152,15.85378685,332,141.7032188,213.6,3.160473894,260.8,4.20935164,2.327894623,127.2,20.80702637,81.6,0.464068948,100,0.629878846,2.715877061,526.4,24.274864100000002,338.4,0.5414137729999999,413.6,1.41553418,5.819736559,680,52.01756593,436.8,1.16017237,534.4,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changde City,Largecities,1,Hunan Province,81.84085382,73.14235424,0.207789251,105.6,1.250219669,68,0.036280467999999996,83.2,0.397446095,0.361322419,127.2,2.173993092,81.6,0.063087702,100,0.58153633,0.669543141,332,4.028485601,213.6,0.116903729,260.8,5.583126386,1.3902753140000002,127.2,8.364963722999999,81.6,0.242745177,100,0.465417874,1.6219878669999999,526.4,9.759124343,338.4,0.283202707,413.6,1.670972895,3.475688285,680,20.91240931,436.8,0.606862943,534.4,0.000437202,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.528947368,0.221052632,0.23,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changzhou City,Largecities,1,Jiangsu Province,190.86017080000002,176.6763042,0.592443986,105.6,0.9005345459999999,68,0.096018744,83.2,0.395973378,1.030194265,127.2,1.565929515,81.6,0.166965927,100,1.154838815,1.9089861780000001,332,2.901722425,213.6,0.309393731,260.8,6.476921513,1.362104809,127.2,2.070444571,81.6,0.22075942399999998,100,1.12075503,1.589122277,526.4,2.4155186669999997,338.4,0.257552661,413.6,5.035377923,3.405262023,680,5.176111429,436.8,0.551898559,534.4,0.000136339,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.528947368,0.221052632,0.23,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaohu City,Medium-small-cities,1,Anhui Province,12.54173607,10.74151145,3.5933954289999996,105.6,10.49032646,68,0.404647043,83.2,0.034291315,6.248515385,127.2,18.24151213,81.6,0.703636247,100,0.07885614099999999,11.5787186,332,33.80216304,213.6,1.303862694,260.8,1.068445181,1.9995777769999998,127.2,5.837438177999999,81.6,0.22516955100000002,100,0.044009501,2.33284074,526.4,6.81034454,338.4,0.262697809,413.6,0.57462248,4.998944442,680,14.59359544,436.8,0.562923877,534.4,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.68,0.15,0.15,1,0.82,0.18,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
