City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Altay Prefecture,Medium-small-cities,1,Xinjiang Uygur Autonomous Region,12.0824,10.00871362,1722.251368,132,10708.74175,85,169.006886,104,0.062001128,2994.803767,159,18621.31204,102,293.8841963,125,0.084064592,5549.476629,415,34505.94563,267,544.5777439,326,1.360952688,2870.418946,159,17847.90291,102,281.6781434,125,0.080433896,3348.822104,658,20822.5534,423,328.6245006,517,0.486234071,7176.047365,850,44619.75728,546,704.1953585,668,0.001746154,0.000644439,0.000217997,0.6,0.743,0.247,0.01,0.542,0.418,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Ankang City,Medium-small-cities,1,Shaanxi Province,19.7762,17.73389067,921.9271058,132,11418.54918,85,259.5237161,104,0.050667417,1603.128801,159,19855.58829,102,451.2829064,125,0.125784809,2970.654008,415,36793.10291,267,836.2430853,326,1.299678172,1536.545176,159,19030.9153,102,432.5395269,125,0.048605371,1792.636039,658,22202.73451,423,504.629448,517,0.51757356,3841.362941,850,47577.28824,546,1081.348817,668,0.000263078,0.000500026,0.001802287,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anqing City,Medium-small-cities,1,Anhui Province,57.3094,49.08328264,1479.758308,132,10894.25982,85,225.9818731,104,0.156693991,2573.13528,159,18943.90735,102,392.9573682,125,0.360332741,4768.110104,415,35103.72608,267,728.1638134,326,4.882254892,2466.263847,159,18157.0997,102,376.6364552,125,0.201101196,2877.307821,658,21183.28298,423,439.4091977,517,2.625734537,6165.659617,850,45392.74924,546,941.591138,668,0.000202983,0.000193231,4.35E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshun City,Medium-small-cities,1,Guizhou Province,30.0547,26.0219478,2198.776092,132,9985.467766,85,415.7561416,104,0.107244993,3823.427316,159,17363.61895,102,722.953735,125,0.17647192,7084.945186,415,32175.39614,267,1339.658678,326,3.057333452,3664.626821,159,16642.44628,102,692.9269026,125,0.166258111,4275.397957,658,19416.18732,423,808.4147197,517,0.525443722,9161.567051,850,41606.11569,546,1732.317256,668,0.00120089,0.000726014,0.000134445,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anyang City,Medium-small-cities,1,Henan Province,86.4084,76.26651595,2984.669848,132,9333.153763,85,282.1763891,104,0.19646469,5190.009235,159,16229.31738,102,490.6733877,125,0.426301463,9617.269509,415,30073.49546,267,909.2350316,326,6.19698074,4974.449746,159,15555.25627,102,470.2939818,125,0.213150732,5803.524704,658,18147.79898,423,548.6763121,517,3.108986429,12436.12437,850,38888.14068,546,1175.734955,668,0.00025292,9.85E-05,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Anshan City,Medium-small-cities,1,Liaoning Province,62.1968,54.16211227,2565.843803,132,9570.650263,85,463.5059332,104,0.291748213,4461.71728,159,16642.2974,102,805.9853171,125,0.544306367,8267.718922,415,30838.76196,267,1493.519118,326,4.505405239,4276.406339,159,15951.08377,102,772.5098886,125,0.32222937,4989.140729,658,18609.59773,423,901.2615367,517,2.370998537,10691.01585,850,39877.70943,546,1931.274722,668,0.000106287,0.000223209,3.75E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bayannur City,Medium-small-cities,1,Inner Mongolia Autonomous Region,36.9,32.35197114,2664.420415,132,9725.216263,85,210.3633218,104,0.077815539,4633.131055,159,16911.0705,102,365.7984429,125,0.195503503,8585.354671,415,31336.80796,267,677.8373702,326,2.855380111,4440.700692,159,16208.69377,102,350.6055363,125,0.094536233,5180.817474,658,18910.14273,423,409.0397924,517,1.324793475,11101.75173,850,40521.73443,546,876.5138408,668,0.001179424,0.000188463,1.11E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bazhong City,Medium-small-cities,1,Sichuan Province,44.98,40.29607673,880.237232,132,11477.62057,85,242.1422006,104,0.08262418,1530.634742,159,19958.30688,102,421.0583821,125,0.290882387,2836.31997,415,36983.44405,267,780.2359796,326,3.00616195,1467.062053,159,19129.36761,102,403.5703343,125,0.235799601,1711.572396,658,22317.59555,423,470.8320567,517,1.068455151,3667.655133,850,47823.41903,546,1008.925836,668,0.001572564,0.000908715,0.000116966,0.6,0.717,0.273,0.01,0.498,0.462,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baicheng City,Medium-small-cities,1,Jilin Province,28.6851,25.37144774,3005.991614,132,9256.841184,85,337.1672027,104,0.08560428,5227.085417,159,16096.61828,102,586.2963025,125,0.230620487,9685.972978,415,29827.59937,267,1086.427653,326,1.905014659,5009.986023,159,15428.06864,102,561.9453379,125,0.116907338,5844.983693,658,17999.41341,423,655.6028942,517,0.975505494,12524.96506,850,38570.1716,546,1404.863345,668,9.13E-05,0.000215667,4.13E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baishan City,Medium-small-cities,1,Jilin Province,14.5408,12.86107238,2224.412947,132,9947.306028,85,428.2810246,104,0.043393773,3868.006958,159,17297.25993,102,744.7331151,125,0.11690412,7167.55283,415,32052.43054,267,1380.016635,326,0.965673369,3707.354912,159,16578.84338,102,713.8017077,125,0.059261645,4325.247397,658,19341.98394,423,832.768659,517,0.494494713,9268.38728,850,41447.10845,546,1784.504269,668,0.00028602,0.000484507,9.54E-06,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baiyin City,Medium-small-cities,1,Gansu Province,24.79,20.23462855,2677.610748,132,9535.52215,85,386.8671024,104,0.078490765,4656.067578,159,16581.21352,102,672.7189059,125,0.173697156,8627.856855,415,30725.57137,267,1246.571775,326,3.331496922,4462.68458,159,15892.53692,102,644.7785041,125,0.188232483,5206.465343,658,18541.29307,423,752.2415881,517,0.783454119,11156.71145,850,39731.34229,546,1611.94626,668,0.000213053,0.000330319,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baise City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,39.4785,34.25272915,2291.216875,132,9719.738623,85,589.0445015,104,0.097133287,3984.171567,159,16901.54549,102,1024.282939,125,0.230765143,7382.809932,415,31319.15779,267,1898.032283,326,3.373174152,3818.694792,159,16199.56437,102,981.7408358,125,0.291988548,4455.143924,658,18899.49177,423,1145.364308,517,1.232709716,9546.736981,850,40498.91093,546,2454.352089,668,0.000650464,0.000643012,4.09E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bengbu City,Medium-small-cities,1,Anhui Province,44.0785,37.75152896,2837.993664,132,9515.860612,85,246.1457233,104,0.120518381,4934.955649,159,16547.02429,102,428.0200634,125,0.277143483,9144.646251,415,30662.21753,267,793.1362196,326,3.755099028,4729.98944,159,15859.76769,102,410.2428722,125,0.154673388,5518.321014,658,18503.0623,423,478.6166843,517,2.019536756,11824.9736,850,39649.41922,546,1025.607181,668,2.91E-05,0.000146774,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baotou City,Medium-small-cities,1,Inner Mongolia Autonomous Region,72.6,63.65184566,3545.011975,132,8440.359254,85,614.6287708,104,0.153100491,6164.381935,159,14676.84692,102,1068.77114,125,0.384649169,11422.81636,415,27196.71315,267,1980.470484,326,5.617902332,5908.353292,159,14067.26542,102,1024.381285,125,0.185998118,6893.078841,658,16411.80966,423,1195.111499,517,2.606504235,14770.88323,850,35168.16356,546,2560.953212,668,0.000770409,0.000148879,5.17E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoji City,Medium-small-cities,1,Shaanxi Province,39.2303,35.17894495,2022.313709,132,10346.48003,85,231.2062577,104,0.100509602,3516.578839,159,17991.37917,102,402.0419926,125,0.24952093,6516.344175,415,33338.65788,267,744.9979415,326,2.578188155,3370.522849,159,17244.13339,102,385.3437629,125,0.096419095,3932.276657,658,20118.15562,423,449.5677233,517,1.026717268,8426.307122,850,43110.33347,546,963.3594072,668,0.000617335,0.000371296,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoding City,Largecities,1,Hebei Province,238,206.0961842,2224.896748,132,9978.927609,85,396.1756424,104,0.319110683,3868.848234,159,17352.24634,102,688.9054227,125,0.979089596,7169.111744,415,32154.3223,267,1276.565959,326,19.51796978,3708.161247,159,16631.54602,102,660.2927374,125,0.641122372,4326.188122,658,19403.47035,423,770.341527,517,10.44652336,9270.403118,850,41578.86504,546,1650.731844,668,0.000192064,0.000200033,0,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoshan City,Medium-small-cities,1,Yunnan Province,28.66,24.36464572,1113.691508,132,11184.08319,85,302.2253033,104,0.080283371,1936.585789,159,19447.87799,102,525.5362218,125,0.12255819,3588.561525,415,36037.60139,267,973.8370884,326,3.274940998,1856.152513,159,18640.13865,102,503.7088388,125,0.193145502,2165.511265,658,21746.82842,423,587.660312,517,0.624426221,4640.381282,850,46600.34662,546,1259.272097,668,0.000445283,0.000466629,0.000241658,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Beihai City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,30.3548,26.33673374,1819.721116,132,10044.0239,85,736.2549801,104,0.074685246,3164.292829,159,17465.44157,102,1280.265604,125,0.17743404,5863.545817,415,32364.07703,267,2372.377158,326,2.593614924,3032.868526,159,16740.03984,102,1227.091633,125,0.224508377,3538.346614,658,19530.04648,423,1431.606906,517,0.947823674,7582.171315,850,41850.0996,546,3067.729084,668,0.000572876,0.000182418,0.000110107,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Beijing,Megacities,1,Beijing Municipality,584.25,522.7,5395.251721,132,6546.749531,85,657.9987481,104,7.66,9381.743271,159,11384.07002,102,1144.186712,125,6.31,17384.69999,415,21095.08182,267,2120.218188,326,39.4,8992.086202,159,10911.24922,102,1096.66458,125,1.87,10490.76724,658,12729.79075,423,1279.44201,517,6.31,22480.21551,850,27278.12304,546,2741.66145,668,7.88E-05,0.000462117,0.061622524,0.6,0.463238806,0.293761194,0.243,0.151210526,0.511789474,0.337,1,1,0.02,0.186754098,0.525245902,0.268,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Benxi City,Medium-small-cities,1,Liaoning Province,15.1086,13.15684552,5711.77362,132,6888.22638,85,0,104,0.070870319,9932.139684,159,11977.86032,102,0,125,0.132220744,18404.60389,415,22195.39611,267,0,326,1.094435173,9519.6227,159,11480.3773,102,0,125,0.078274681,11106.22648,658,13393.77352,423,0,517,0.575953562,23799.05675,850,28700.94325,546,0,668,5.81E-05,0.000317088,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bijie City,Medium-small-cities,1,Guizhou Province,58.2,50.39069969,1011.442561,132,11212.31299,85,376.2444465,104,0.207676623,1758.78623,159,19496.96648,102,654.2472875,125,0.341732432,3259.092695,415,36128.56409,267,1212.343216,326,5.920431975,1685.737601,159,18687.18832,102,627.0740774,125,0.321953706,1966.693868,658,21801.71971,423,731.5864237,517,1.01750557,4214.344002,850,46717.9708,546,1567.685194,668,0.001797516,0.000820836,0.000143532,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Binzhou City,Medium-small-cities,1,Shandong Province,95.6195,84.08908141,2023.134992,132,10113.19335,85,463.6716618,104,0.164961213,3518.006958,159,17585.71954,102,806.2735008,125,0.544659967,6518.990529,415,32586.95634,267,1494.053132,326,7.007354889,3371.891653,159,16855.32224,102,772.786103,125,0.328688303,3933.873595,658,19664.54262,423,901.5837868,517,3.484754213,8429.729133,850,42138.30561,546,1931.965257,668,2.23E-05,0.000433185,0,0.6,0.73,0.26,0.01,0.54,0.42,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Bozhou City,Medium-small-cities,1,Anhui Province,63.1152,54.0557256,1751.476252,132,10602.05392,85,246.4698331,104,0.172568071,3045.622593,159,18435.79375,102,428.5836543,125,0.396836698,5643.6457,415,34162.17373,267,794.1805734,326,5.376857792,2919.127086,159,17670.08986,102,410.7830552,125,0.221474002,3405.648267,658,20615.10484,423,479.2468977,517,2.891737838,7297.817715,850,44175.22465,546,1026.957638,668,0.000204196,0.000136225,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Cangzhou City,Largecities,1,Hebei Province,85.0947,73.68778557,2201.144682,132,9997.464614,85,401.3907044,104,0.114095075,3827.546031,159,17384.48013,102,697.973836,125,0.350064435,7092.577309,415,32214.05264,267,1293.370047,326,6.978469678,3668.57447,159,16662.44102,102,668.9845073,125,0.229227378,4280.003549,658,19439.51453,423,780.4819252,517,3.735057864,9171.436175,850,41656.10256,546,1672.461268,668,0.00011227,0.000263283,0,0.6,0.73,0.26,0.01,0.531673684,0.421326316,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Chamdo City,Medium-small-cities,1,Tibet Autonomous Region,13.7757,9.001351382,1236.27038,132,11196.13609,85,167.593528,104,0.072150135,2149.736828,159,19468.83665,102,291.4265238,125,0.106981235,3983.537893,415,36076.43852,267,540.0235903,326,3.092504082,2060.450634,159,18660.22682,102,279.3225467,125,0.462756041,2403.859073,658,21770.26462,423,325.8763045,517,1.039957125,5151.126585,850,46650.56705,546,698.3063668,668,0.002770991,0.000786633,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changde City,Largecities,1,Hunan Province,62.3495,55.72264954,1217.668094,132,11143.13717,85,239.1947375,104,0.302789673,2117.389519,159,19376.67741,102,415.9330714,125,0.44303667,3923.597192,415,35905.66421,267,770.7385987,326,4.253439723,2029.446824,159,18571.89528,102,398.6578959,125,0.354573179,2367.687961,658,21667.21116,423,465.1008785,517,1.273011212,5073.617059,850,46429.7382,546,996.6447397,668,8.30E-05,0.000333266,0.000418849,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Changzhou City,Largecities,1,Jiangsu Province,147.72,136.7421162,3605.938124,132,8336.555617,85,657.5062588,104,0.306471419,6270.325738,159,14496.34393,102,1143.330328,125,0.893810317,11619.13396,415,26862.23477,267,2118.631278,326,5.012941368,6009.896874,159,13894.25936,102,1095.843765,125,0.867430498,7011.546353,658,16209.96925,423,1278.484392,517,3.897230226,15024.74218,850,34735.6484,546,2739.609412,668,8.83E-05,0.000121777,0.000130616,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Chaohu City,Medium-small-cities,1,Anhui Province,9.5791,8.204128341,3123.036844,132,9237.811686,85,239.15147,104,0.026190946,5430.614068,159,16063.5281,102,415.857834,125,0.060228573,10063.11872,415,29766.2821,267,770.5991812,326,0.816054746,5205.061407,159,15396.35281,102,398.5857834,125,0.033613482,6072.571641,658,17962.41161,423,465.0167473,517,0.438883913,13012.65352,850,38490.88202,546,996.4644585,668,0.000804909,0.00026874,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
