City,Category,level,Province,Vehicles,small1,cityroadA,M1,ruralroadA,M2,highwayA,M3,medium1,cityroadB,M4,ruralroadB,M5,highwayB,M6,big1,cityroadC,M7,ruralroadC,M8,highwayC,M9,small2,cityroadD,M10,ruralroadD,M11,highwayD,M12,medium2,cityroadE,M13,ruralroadE,M14,highwayE,M15,big2,cityroadF,M16,ruralroadF,M17,highwayF,M18,Car,Truck,Airplaneinput,TCR,TC13,TC14,TC15,TC23,TC24,TC25,TC314,TC413,TC56,TC57,TC58,TC59,TC613,TC710,TC713,TC810,TC813,TC910,TC913,TC1011,TC1012,TC1114,TC1315,TC1316,TC1415,TC1417,TC1516,TC1518
Baiyin City,Medium-small-cities,1,Gansu Province,24.79,20.23462855,4207.674033,132,14984.39195,85,607.9340181,104,0.078490765,7316.677623,159,26056.19267,102,1057.129709,125,0.173697156,13558.06077,415,48283.04073,267,1958.898503,326,3.331496922,7012.790054,159,24973.98658,102,1013.223364,125,0.188232483,8181.588397,658,29136.31768,423,1182.093924,517,0.783454119,17531.97514,850,62434.96646,546,2533.058409,668,0.000213053,0.000330319,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baise City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,39.4785,34.25272915,3600.483661,132,15273.87498,85,925.6413595,104,0.097133287,6260.841033,159,26559.57149,102,1609.587475,125,0.230765143,11601.55846,415,49215.81938,267,2982.622158,326,3.373174152,6000.806102,159,25456.4583,102,1542.735599,125,0.291988548,7000.940452,658,29699.20135,423,1799.858199,517,1.232709716,15002.01526,850,63641.14575,546,3856.838998,668,0.000650464,0.000643012,4.09E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Bengbu City,Medium-small-cities,1,Anhui Province,44.0785,37.75152896,4459.704329,132,14953.49525,85,386.8004224,104,0.120518381,7754.930306,159,26002.46674,102,672.6029567,125,0.277143483,14370.15839,415,48183.48469,267,1246.356917,326,3.755099028,7432.840549,159,24922.49208,102,644.6673706,125,0.154673388,8671.647307,658,29076.24076,423,752.1119324,517,2.019536756,18582.10137,850,62306.2302,546,1611.668427,668,2.91E-05,0.000146774,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baotou City,Medium-small-cities,1,Inner Mongolia Autonomous Region,72.6,63.65184566,5570.733104,132,13263.42168,85,965.8452112,104,0.153100491,9686.885898,159,23063.6166,102,1679.497506,125,0.384649169,17950.14,415,42737.6921,267,3112.167903,326,5.617902332,9284.555173,159,22105.70281,102,1609.742019,125,0.185998118,10831.98104,658,25789.98661,423,1878.032355,517,2.606504235,23211.38793,850,55264.25702,546,4024.355047,668,0.000770409,0.000148879,5.17E-05,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoji City,Medium-small-cities,1,Shaanxi Province,39.2303,35.17894495,3177.921543,132,16258.75434,85,363.3241193,104,0.100509602,5526.052461,159,28272.16726,102,631.7802741,125,0.24952093,10239.96942,415,52389.31953,267,1170.711051,326,2.578188155,5296.535905,159,27097.9239,102,605.5401988,125,0.096419095,6179.29189,658,31614.24455,423,706.4635653,517,1.026717268,13241.33976,850,67744.80974,546,1513.850497,668,0.000617335,0.000371296,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoding City,Largecities,1,Hebei Province,238,206.0961842,3496.266319,132,15681.17196,85,622.5617238,104,0.319110683,6079.618654,159,27267.81568,102,1082.565664,125,0.979089596,11265.74703,415,50528.22075,267,2006.032221,326,19.51796978,5827.110531,159,26135.2866,102,1037.602873,125,0.641122372,6798.29562,658,30491.1677,423,1210.536685,517,10.44652336,14567.77633,850,65338.21649,546,2594.007183,668,0.000192064,0.000200033,0,0.6,0.73,0.26,0.01,0.511610526,0.441389474,0.047,1,1,0.02,0.676347368,0.282652632,0.021,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Baoshan City,Medium-small-cities,1,Yunnan Province,28.66,24.36464572,1750.086655,132,17574.98787,85,474.9254766,104,0.080283371,3043.206239,159,30560.95113,102,825.8426343,125,0.12255819,5639.168111,415,56630.51646,267,1530.315425,326,3.274940998,2916.811092,159,29291.64645,102,791.542461,125,0.193145502,3402.946274,658,34173.58752,423,923.4662045,517,0.624426221,7292.02773,850,73229.11612,546,1978.856153,668,0.000445283,0.000466629,0.000241658,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Beihai City,Medium-small-cities,1,Guangxi Zhuang Autonomous Region,30.3548,26.33673374,2859.561753,132,15783.46614,85,1156.972112,104,0.074685246,4972.460159,159,27445.69389,102,2011.84595,125,0.17743404,9214.143426,415,50857.83533,267,3728.021248,326,2.593614924,4765.936255,159,26305.77689,102,1928.286853,125,0.224508377,5560.258964,658,30690.07304,423,2249.667995,517,0.947823674,11914.84064,850,65764.44223,546,4820.717131,668,0.000572876,0.000182418,0.000110107,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,0.9,0.1,0.01,0.99,0.35,0.65
Beijing,Megacities,1,Beijing Municipality,584.25,522.7,8478.252705,132,10287.74926,85,1033.998033,104,7.66,14742.73943,159,17889.25288,102,1798.00769,125,6.31,27318.81427,415,33149.41429,267,3331.771439,326,39.4,14130.42117,159,17146.24877,102,1723.330055,125,1.87,16485.49137,658,20003.9569,423,2010.55173,517,6.31,35326.05294,850,42865.62193,546,4308.325136,668,7.88E-05,0.000462117,0.061622524,0.6,0.463238806,0.293761194,0.243,0.151210526,0.511789474,0.337,1,1,0.02,0.186754098,0.525245902,0.268,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
Benxi City,Medium-small-cities,1,Liaoning Province,15.1086,13.15684552,8975.64426,132,10824.35574,85,0,104,0.070870319,15607.64807,159,18822.35193,102,0,125,0.132220744,28921.52039,415,34878.47961,267,0,326,1.094435173,14959.4071,159,18040.5929,102,0,125,0.078274681,17452.64162,658,21047.35838,423,0,517,0.575953562,37398.51775,850,45101.48225,546,0,668,5.81E-05,0.000317088,0,0.6,0.73,0.26,0.01,0.52,0.44,0.04,1,1,0.02,0.98,0,0,1,0.74,0.26,0.92,0.08,0.96,0.04,0.15,0.85,1,1,0,0.01,0.99,0.35,0.65
