City,GDP,Urban resident population,Urban area
Neijiang City,1433.3,64.87,278.93
Ningbo City,11985.12,327.38,1380.8
Ningde City,2451.7,33.05,107.5
Panzhihua City,1010.13,68.41,342.56
Panjin City,1281,79.98,276.91
Pingdingshan City,2372.64,90.88,260.03
Pingliang City,456.5803,30.7,255
Pingxiang City,930.02,47.1,85.7
Putian City,2595.39,80.54,248.2
Puyang City,1581.49,61.64,153.56
Pu'er City,875.28,22.91,50
Qitaihe City,231.33,41.76,67.6
Qiqihar City,1128.9,108.17,127.46
Qinzhou City,1356.27,38.5,354.38
Qinhuangdao City,1612.02,132,330.25
Qingdao City,11741.31,529.48,3089.18
Qingyuan City,1698.2,56.18,311.03
Qingyang City,742.9377,20.78,31
Qujing City,2637.59,79.31,124.28
Quzhou City,1573.51,36.16,200.1
Quanzhou City,9946.66,136.56,539
Shigatse City,279.49,10.9,42
Rizhao City,1949.38,89.31,403.7
Sanmenxia City,1443.82,48.9,73
Sanming City,2601.56,24.77,220
Sanya City,677.86,62.09,188
Xiamen City,5995.04,335.66,397.84
Shannan City,187.77,6.28,34
Shantou City,2694.08,299.11,291.81
Shanwei City,1076.27,31.9,283.16
Shangluo City,832.01,24.18,40
Shangqiu City,2911.2,96.48,103
Shanghai,38155.32,2428.14,6340.5
Shangrao City,2513.1,76.46,93.96
Shaoguan City,1316.35,63.64,241.95
Shaoyang City,2152.48,69.58,83
Shaoxing City,5780.74,153.02,684
Shenzhen City,26927.09,1343.88,1997.47
Shenyang City,6470,569.15,1610
Shiyan City,2012.72,75.32,410.5
Shijiazhuang City,5809.9,336.76,518.81
Shizuishan City,511.2429,42.9,118.2
Shuangyashan City,476.4,45.7,118
Shuozhou City,1061.7,44.02,176
Siping City,796.1686,57.91,118.11
Songyuan City,729.7836,48.41,81.8
Suzhou City (Jiangsu),19235.8,384.04,1523.88
Suqian City,3099,85.83,359.32
Suzhou City (Anhui),1978.8,58.78,164.51
Suihua City,1101.1,37.44,92.77
Suizhou City,1162.23,50.48,236.61
Suining City,1345.73,61.65,261.52
Tacheng Prefecture,696.5818,8.71,21.29
Taizhou City (Zhejiang),5134.05,107.57,750.28
Taiyuan City,4028.51,385,1000
Tai'an City,2663.59,104.13,587.63
Taizhou City (Jiangsu),5133.36,97.47,441.44
Tangshan City,6890,205.74,293.65
Tianjin,14104.28,1303.84,2639.78
Tianshui City,632.6699,69.66,60
Tieling City,640,43.1,240.33
Tonghua City,725.7567,46.93,64.75
Tongliao City,3212,46.05,75.63
Tongchuan City,369.15,41.23,55
Tongling City,960.2,53.17,205.6
Tongren City,1249.16,41.73,68
Turpan City,384.4809,8.84,21.87
Weihai City,2963.73,98.63,652.42
Weifang City,5688.5,162.42,1186.54
Weinan City,1836.53,55.29,267
Wenzhou City,6606.11,229.72,849.26
Wuhai City,550.95,56.02,67.17
Ulanqab City,420,32.94,74.87
¨¹r¨¹mqi City,3413.2587,349.75,842.09
Wuxi City,11852.32,263.51,1261.26
Wuhu City,3618.3,163.56,721.7
Wuzhong City,580.1885,20.65,60
Wuzhou City,991.4,64.33,485.01
Wuhan City,16223.21,934.78,1452
Wuwei City,488.455,33.92,177.77
Xi'an City,9399.98,637.81,942.53
Xining City,1327.82,135.93,380
Xishuangbanna Dai Autonomous Prefecture,568.09,20.66,83.63
Xianning City,1594.98,41.35,165
Xianyang City,2210.48,102.94,138
Xiangtan City,2257.6,82,118.41
Xiangyang City,4812.84,154.92,374.3
Xiaogan City,2301.4,61.58,115.25
Xinzhou City,1001.6,32.55,183
Xinxiang City,2918.18,79.06,140
Xinyu City,971.58,48.73,230
Xinyang City,2758.47,63.35,259.51
Xingtai City,2119.96,60.15,114.8
Xuzhou City,7151.35,207.55,604.78
Xuchang City,3395.7,57.88,190
Xuancheng City,1561.3,35.96,131.77
Ya'an City,723.79,21.82,196.9
Yantai City,7653.45,218.28,914
Yan'an City,1672.27,41.52,62.06
Yancheng City,5702.26,140.39,608.76
Yangzhou City,5850.08,122.93,415.34
Yangjiang City,1291.67,61.05,626.72
Yangquan City,718.9,61.26,68.93
Yichun City (Heilongjiang),298.841,45.08,121.93
Yibin City,2601.89,150.92,185.77
